10:30:28,31.33,1,4,31.38_,1_,31.08_,1_
10:30:59,31.33,1,4,31.37_,1_,31.07_,1_
10:31:04,31.33,1,4,31.38_,1_,31.08_,1_
10:31:14,31.33,1,4,31.37_,1_,31.07_,1_
10:31:29,31.33,1,4,31.36_,1_,31.06_,1_
10:32:00,31.33,1,4,31.37_,81_,31.06_31.04_,1_20_
10:32:05,31.33,1,4,31.39_,81_,31.09_31.07_,1_20_
10:32:16,31.33,1,4,31.39_,81_,31.08_31.07_,1_20_
10:32:21,31.33,1,4,31.39_,81_,31.09_31.06_,1_20_
10:32:31,31.33,1,4,31.38_31.39_,1_80_,31.08_31.06_,1_20_
10:33:58,31.33,1,4,31.38_31.40_,1_80_,31.08_31.07_,1_20_
10:34:03,31.33,1,4,31.38_31.39_,80_1_,31.08_31.06_,1_20_
10:34:08,31.33,1,4,31.38_31.39_,1_80_,31.08_31.07_,1_20_
10:34:13,31.33,1,4,31.38_,1_,31.08_31.06_,1_20_
10:34:19,31.33,1,4,31.38_,81_,31.08_31.06_,1_20_
10:36:47,31.33,1,4,31.39_31.40_,1_80_,31.09_31.07_,1_20_
10:37:43,31.33,1,4,31.40_31.41_,1_80_,31.10_31.08_,1_20_
10:38:45,31.33,1,4,31.41_31.42_,1_80_,31.11_31.09_,1_20_
10:39:16,31.33,1,4,31.42_,81_,31.11_31.09_,1_20_
10:41:14,31.33,1,4,31.44_,81_,31.14_31.12_,1_20_
10:41:39,31.33,1,4,31.46_,81_,31.16_31.14_,1_20_
10:41:45,31.33,1,4,31.45_31.46_,1_80_,31.15_31.14_,1_20_
10:42:00,31.33,1,4,31.46_,81_,31.15_31.14_,1_20_
10:45:20,31.33,1,4,31.46_31.47_,1_80_,31.16_31.14_,1_20_
10:47:38,31.33,1,4,31.45_31.47_,1_80_,31.15_31.14_,1_20_
10:49:31,31.33,1,4,31.49_,1_,31.19_31.17_,1_20_
10:49:41,31.33,1,4,31.51_31.52_,1_80_,31.21_31.19_,1_20_
10:49:46,31.33,1,4,31.51_,81_,31.21_31.19_,1_20_
10:49:51,31.33,1,4,31.51_31.52_,1_80_,31.21_31.19_,1_20_
10:49:56,31.33,1,4,31.51_,80_,31.20_31.19_,1_20_
10:50:02,31.33,1,4,31.50_,1_,31.19_31.18_,1_20_
10:50:17,31.33,1,4,31.53_,81_,31.22_31.20_,1_20_
10:50:22,31.33,1,4,31.54_,81_,31.23_31.21_,1_20_
10:52:05,31.33,1,4,31.49_31.50_,1_80_,31.19_31.17_,1_20_
10:52:20,31.33,1,4,31.52_31.53_,1_80_,31.22_31.20_,1_20_
10:52:30,31.33,1,4,31.51_31.52_,80_1_,31.21_,1_
10:52:35,31.33,1,4,31.53_,81_,31.22_,1_
10:53:16,31.33,1,4,31.52_31.53_,80_1_,31.22_31.20_,1_20_
10:53:21,31.33,1,4,31.52_,81_,31.21_31.20_,1_20_
10:53:27,31.33,1,4,31.52_,81_,31.20_,20_
10:53:32,31.33,1,4,31.52_31.53_,1_80_,31.22_,1_
10:53:37,31.33,1,4,31.50_31.51_,1_80_,31.20_31.18_,1_20_
10:56:31,31.33,1,4,31.48_31.49_,1_80_,31.18_31.17_,1_20_
10:56:46,31.33,1,4,31.50_31.51_,1_80_,31.19_,1_
10:57:12,31.33,1,4,31.50_,81_,31.19_31.17_,1_20_
10:57:48,31.33,1,4,31.47_31.48_,1_80_,31.17_31.16_,1_20_
11:01:03,31.33,1,4,31.49_,81_,31.19_31.16_,1_20_
11:01:23,31.33,1,4,31.47_,81_,31.17_31.15_,1_20_
11:03:16,31.33,1,4,31.47_31.48_,80_1_,31.17_31.15_,1_20_
11:05:45,31.33,1,4,31.45_31.46_,1_80_,31.15_31.13_,1_20_
11:06:05,31.33,1,4,31.49_31.50_,1_80_,31.19_,1_
11:06:31,31.33,1,4,31.50_,1_,31.19_31.16_,1_20_
11:06:36,31.33,1,4,31.47_31.50_,1_80_,31.17_,1_
11:06:41,31.33,1,4,31.48_,1_,31.18_31.15_,1_20_
11:06:46,31.33,1,4,31.47_31.48_,1_80_,31.17_31.15_,1_20_
11:06:51,31.33,1,4,31.47_,1_,31.17_31.14_,1_20_
11:07:48,31.33,1,4,31.45_31.47_,1_80_,31.15_31.14_,1_20_
11:08:19,31.33,1,4,31.48_31.49_,1_80_,31.18_31.16_,1_20_
11:08:24,31.33,1,4,31.47_31.49_,1_80_,31.17_,1_
11:08:29,31.33,1,4,31.47_,81_,31.17_31.15_,1_20_
11:08:39,31.33,1,4,31.48_,81_,31.17_31.15_,1_20_
11:08:44,31.33,1,4,31.49_,1_,31.19_31.16_,1_20_
11:09:00,31.33,1,4,31.49_,1_,31.19_31.15_,1_20_
11:09:15,31.33,1,4,31.46_31.48_,1_80_,31.16_,1_
11:09:25,31.33,1,4,31.46_,1_,31.15_31.13_,1_20_
11:09:36,31.33,1,4,31.45_31.46_,1_80_,31.15_31.14_,1_20_
11:09:46,31.33,1,4,31.48_,81_,31.17_31.15_,1_20_
11:09:51,31.33,1,4,31.46_31.47_,1_80_,31.16_31.15_,1_20_
11:10:01,31.33,1,4,31.46_,81_,31.15_31.14_,1_20_
11:10:58,31.33,1,4,31.48_,81_,31.18_31.15_,1_20_
11:11:34,31.33,1,4,31.47_31.49_,1_80_,31.17_,1_
11:12:09,31.33,1,4,31.48_31.49_,1_80_,31.18_31.16_,1_20_
11:12:20,31.33,1,4,31.48_31.49_,1_80_,31.17_,1_
11:12:25,31.33,1,4,31.47_,81_,31.17_31.15_,1_20_
11:12:30,31.33,1,4,31.47_31.48_,80_1_,31.17_31.15_,1_20_
11:13:06,31.33,1,4,31.47_,1_,31.16_31.14_,1_20_
11:13:42,31.33,1,4,31.45_,81_,31.15_31.13_,1_20_
11:13:52,31.33,1,4,31.44_31.46_,1_80_,31.14_,1_
11:15:08,31.33,1,4,31.46_,81_,31.15_31.13_,1_20_
11:16:56,31.33,1,4,31.40_31.46_,3_81_,31.16_31.14_,1_20_
11:18:59,31.33,1,4,31.40_31.45_,3_1_,31.15_31.13_,1_20_
11:19:04,31.33,1,4,31.40_31.48_,3_81_,31.17_31.16_,1_20_
11:21:33,31.33,1,4,31.40_31.45_31.46_,3_1_80_,31.15_31.13_,1_20_
11:25:18,31.33,1,4,31.40_31.47_31.48_,3_1_80_,31.17_31.16_,1_20_
11:25:28,31.33,1,4,31.40_31.47_31.49_,3_1_80_,31.17_31.16_,1_20_
11:25:33,31.33,1,4,31.40_31.48_,3_81_,31.18_31.15_,1_20_
11:25:44,31.33,1,4,31.40_31.47_31.48_,3_1_80_,31.17_31.15_,1_20_
11:26:25,31.33,1,4,31.40_31.47_31.48_,3_1_80_,31.17_31.15_,1_20_
11:26:30,31.33,1,4,31.40_31.48_,3_81_,31.18_31.15_,1_20_
11:26:40,31.33,1,4,31.40_31.45_31.46_,3_1_80_,31.15_31.13_,1_20_
11:27:26,31.33,1,4,31.40_31.46_31.47_,3_1_80_,31.16_31.14_,1_20_
11:29:34,31.33,1,4,31.40_31.46_31.47_,3_1_80_,31.16_31.14_,1_20_
11:30:36,31.33,1,4,31.40_31.47_,3_81_,31.16_31.15_,1_20_
11:31:32,31.33,1,4,31.40_31.44_,3_1_,31.14_31.12_,1_20_
11:31:37,31.33,1,4,31.40_31.47_,3_81_,31.17_31.15_,1_20_
11:31:42,31.33,1,4,31.40_31.46_31.47_,3_1_80_,31.16_,1_
11:31:47,31.33,1,4,31.40_31.45_31.47_,3_1_80_,31.15_31.14_,1_20_
11:32:54,31.33,1,4,31.40_31.45_,3_81_,31.15_31.13_,1_20_
11:35:12,31.33,1,4,31.40_31.47_,3_1_,31.17_31.13_,1_20_
11:35:58,31.33,1,4,31.40_31.47_,3_81_,31.33_31.16_31.14_,1_1_20_
11:37:00,31.33,1,4,31.40_31.45_31.48_,3_1_80_,31.33_31.15_,1_1_
11:38:06,31.33,1,4,31.40_31.46_,3_80_,31.33_31.16_31.14_,1_1_20_
11:38:22,31.33,1,4,31.40_31.50_,3_81_,31.33_31.20_31.18_,1_1_20_
11:42:18,31.33,1,4,31.40_31.45_,3_81_,31.33_31.15_31.13_,1_1_20_
11:42:23,31.33,1,4,31.40_31.45_,3_81_,31.33_31.14_31.13_,1_1_20_
11:42:28,31.33,1,4,31.40_31.44_31.45_,3_1_80_,31.33_31.14_31.13_,1_1_20_
11:42:33,31.33,1,4,31.40_31.45_,3_81_,31.33_31.15_31.13_,1_1_20_
11:42:38,31.33,1,4,31.40_31.46_,3_81_,31.33_31.16_31.14_,1_1_20_
