09:34:44,25.69,1,19,25.72_25.76_25.81_27.50_27.70_,1_8_1_2_2_,25.62_25.57_25.51_25.50_25.00_,1_104_8_1_1_
09:34:49,25.69,1,19,25.72_25.79_25.81_27.50_27.70_,1_8_1_2_2_,25.62_25.57_25.54_25.50_25.00_,1_104_8_1_1_
09:35:25,25.72,1,20,25.71_25.84_27.50_27.70_28.40_,8_104_2_2_1_,25.62_25.60_25.50_25.46_25.00_,1_1_1_8_1_
09:35:35,25.72,1,20,25.74_25.84_27.50_27.70_28.40_,8_104_2_2_1_,25.62_25.60_25.50_25.49_25.00_,1_1_1_8_1_
09:35:40,25.72,1,20,25.74_25.84_27.50_27.70_28.40_,8_1_2_2_1_,25.62_25.60_25.50_25.49_25.00_,1_104_1_8_1_
09:36:16,25.72,1,20,25.72_25.74_25.84_27.50_27.70_,1_8_1_2_2_,25.62_25.60_25.50_25.49_25.00_,1_104_1_8_1_
09:39:26,25.72,1,20,25.72_25.76_25.84_27.50_27.70_,1_8_104_2_2_,25.62_25.60_25.51_25.50_25.00_,1_1_8_1_1_
09:40:48,25.72,1,20,25.72_25.76_25.84_27.50_27.70_,1_8_104_2_2_,25.62_25.60_25.51_25.50_25.00_,1_1_8_1_1_
09:40:53,25.72,1,20,25.72_25.76_25.84_27.50_27.70_,1_8_1_2_2_,25.62_25.60_25.51_25.50_25.00_,1_104_8_1_1_
09:40:59,25.72,1,20,25.72_25.73_25.84_27.50_27.70_,1_8_1_2_2_,25.62_25.60_25.50_25.48_25.00_,1_104_1_8_1_
09:41:04,25.72,1,20,25.72_25.73_25.84_27.50_27.70_,1_8_104_2_2_,25.62_25.60_25.50_25.48_25.00_,1_1_1_8_1_
09:41:24,25.72,1,20,25.72_25.76_27.50_27.70_28.40_,1_8_2_2_1_,25.62_25.51_25.50_25.00_,1_8_1_1_
09:41:29,25.72,1,20,25.72_25.76_25.84_27.50_27.70_,1_8_1_2_2_,25.62_25.60_25.51_25.50_25.00_,1_104_8_1_1_
09:41:55,25.72,1,20,25.72_25.76_25.84_27.50_27.70_,1_8_1_2_2_,25.62_25.60_25.51_25.50_25.00_,1_104_8_1_1_
09:42:46,25.72,1,20,25.72_25.76_25.84_27.50_27.70_,1_8_1_2_2_,25.65_25.62_25.60_25.51_25.50_,1_1_104_8_1_
09:43:48,25.72,1,20,25.72_25.73_25.76_25.84_27.50_,1_8_16_104_2_,25.65_25.62_25.60_25.51_25.50_,1_1_1_16_1_
09:43:53,25.72,1,20,25.72_25.73_25.76_25.84_27.50_,1_8_16_1_2_,25.65_25.62_25.60_25.51_25.50_,1_1_104_16_1_
09:44:08,25.72,1,20,25.72_25.73_25.76_25.84_27.50_,9_8_16_1_2_,25.65_25.62_25.60_25.51_25.50_,1_1_104_16_1_
09:44:13,25.72,1,20,25.72_25.73_25.76_25.84_27.50_,9_8_16_104_2_,25.65_25.62_25.60_25.51_25.50_,1_1_1_16_1_
09:44:54,25.72,1,20,25.72_25.84_27.50_27.70_28.40_,1_106_2_2_1_,25.65_25.62_25.50_25.00_,2_1_1_1_
09:44:59,25.72,1,20,25.72_25.84_27.50_27.70_28.40_,1_104_2_2_1_,25.65_25.62_25.60_25.50_25.00_,1_1_1_1_1_
09:46:42,25.72,1,20,25.72_27.50_27.70_28.40_28.50_,1_2_2_1_33_,25.65_25.62_25.50_25.00_,1_1_1_1_
09:49:52,25.65,1,21,25.65_25.72_25.77_27.50_27.70_,8_1_104_2_2_,25.62_25.53_25.50_25.40_25.00_,1_1_1_8_1_
09:52:05,25.65,1,21,25.72_25.73_25.77_27.50_27.70_,1_8_1_2_2_,25.62_25.53_25.50_25.48_25.00_,1_104_1_8_1_
09:52:16,25.65,1,21,25.69_25.72_25.77_27.50_27.70_,8_1_1_2_2_,25.62_25.53_25.50_25.44_25.00_,1_104_1_8_1_
09:53:07,25.65,1,21,25.72_25.77_27.50_27.70_28.40_,9_1_2_2_1_,25.62_25.53_25.50_25.47_25.00_,1_104_1_8_1_
09:53:22,25.65,1,21,25.69_25.72_25.77_27.50_27.70_,8_1_1_2_2_,25.62_25.53_25.50_25.44_25.00_,1_104_1_8_1_
09:54:13,25.65,1,21,25.65_25.69_25.72_25.77_27.50_,10_8_1_1_2_,25.62_25.53_25.50_25.44_25.00_,1_104_1_8_1_
09:54:19,25.65,1,22,25.65_25.69_25.72_25.77_27.50_,9_8_1_1_2_,25.62_25.53_25.50_25.44_25.00_,1_104_1_8_1_
09:54:44,25.65,1,22,25.65_25.72_25.74_25.77_27.50_,9_1_8_1_2_,25.62_25.53_25.50_25.49_25.00_,1_104_1_8_1_
09:55:15,25.65,1,22,25.65_25.71_25.72_25.77_26.10_,9_8_1_1_1_,25.62_25.53_25.50_25.46_25.00_,1_104_1_8_1_
09:55:41,25.65,1,22,25.65_25.72_25.74_25.77_26.10_,9_1_8_1_1_,25.62_25.53_25.50_25.49_25.00_,1_104_1_8_1_
09:56:16,25.65,1,22,25.65_25.72_25.74_25.77_26.10_,9_1_8_1_1_,25.62_25.53_25.50_25.49_25.00_,1_104_21_8_1_
09:57:13,25.65,1,22,25.65_25.72_25.74_26.10_27.50_,9_1_8_1_2_,25.62_25.50_25.49_25.00_,1_21_8_1_
09:57:18,25.65,1,22,25.65_25.72_25.74_25.77_26.10_,9_1_8_1_1_,25.62_25.53_25.50_25.49_25.00_,1_104_21_8_1_
09:58:25,25.65,1,22,25.65_25.72_25.74_25.77_26.10_,9_1_8_1_1_,25.62_25.53_25.50_25.49_25.00_,1_104_21_8_1_
09:58:56,25.65,1,22,25.65_25.72_25.77_26.10_27.50_,9_1_9_1_2_,25.62_25.53_25.52_25.50_25.00_,1_104_8_21_1_
10:00:07,25.65,1,22,25.65_25.72_25.77_26.10_27.50_,9_1_9_1_2_,25.62_25.54_25.53_25.52_25.50_,1_2_104_8_21_
10:01:04,25.65,1,22,25.65_25.72_25.77_26.10_27.50_,9_1_8_1_2_,25.62_25.54_25.52_25.50_25.00_,1_2_8_21_1_
10:01:09,25.65,1,22,25.65_25.72_25.77_26.10_27.50_,9_1_9_1_2_,25.62_25.54_25.53_25.52_25.50_,1_2_104_8_21_
10:02:47,25.65,1,22,25.65_25.72_25.77_26.10_27.50_,9_1_9_1_2_,25.62_25.54_25.53_25.52_25.50_,1_2_104_8_21_
