09:11:02,9.00,100,428,9.00_9.01_9.02_9.03_9.04_,250_810_549_500_548_,8.99_8.98_8.97_8.96_8.95_,597_940_805_892_619_
09:11:07,9.00,100,428,9.00_9.01_9.02_9.03_9.04_,250_810_549_500_548_,8.99_8.98_8.97_8.96_8.95_,597_640_810_892_619_
09:11:12,9.00,100,428,9.00_9.01_9.02_9.03_9.04_,250_810_549_500_548_,8.99_8.98_8.97_8.96_8.95_,602_640_810_892_619_
09:11:22,9.00,100,528,9.00_9.01_9.02_9.03_9.04_,150_810_549_500_548_,8.99_8.98_8.97_8.96_8.95_,602_640_810_892_619_
09:11:53,9.00,100,528,9.00_9.01_9.02_9.03_9.04_,152_910_599_550_598_,8.99_8.98_8.97_8.96_8.95_,702_1102_1283_1344_1098_
09:12:50,9.00,50,578,9.00_9.01_9.02_9.03_9.04_,352_860_599_550_549_,8.99_8.98_8.97_8.96_8.95_,763_1107_1283_1344_1098_
09:13:00,8.99,3,681,9.00_9.01_9.02_9.03_9.04_,352_860_599_550_549_,8.99_8.98_8.97_8.96_8.95_,596_745_1283_1344_1098_
09:13:10,8.99,100,781,9.00_9.01_9.02_9.03_9.04_,352_860_599_550_549_,8.99_8.98_8.97_8.96_8.95_,498_745_1283_1344_1098_
09:13:36,9.00,50,881,9.00_9.01_9.02_9.03_9.04_,350_860_599_550_549_,8.99_8.98_8.97_8.96_8.95_,559_1104_1283_1344_1098_
09:13:51,9.00,50,881,9.00_9.01_9.02_9.03_9.04_,350_860_599_550_549_,8.99_8.98_8.97_8.96_8.95_,561_745_1288_1344_1098_
09:13:56,9.00,50,881,9.00_9.01_9.02_9.03_9.04_,350_860_599_550_549_,8.99_8.98_8.97_8.96_8.95_,561_745_1338_1344_1098_
09:14:06,9.00,1,882,9.00_9.01_9.02_9.03_9.04_,349_860_599_550_549_,8.99_8.98_8.97_8.96_8.95_,561_745_1338_1344_1098_
09:14:12,9.00,1,882,9.00_9.01_9.02_9.03_9.04_,848_860_599_550_549_,8.99_8.98_8.97_8.96_8.95_,561_1045_1338_1344_1098_
09:14:27,9.00,1,882,9.00_9.01_9.02_9.03_9.04_,848_860_599_550_549_,8.99_8.98_8.97_8.96_8.95_,661_1395_1338_1344_1098_
09:14:37,9.00,1,882,9.00_9.01_9.02_9.03_9.04_,599_960_649_599_550_,8.99_8.98_8.97_8.96_8.95_,661_1395_1338_1344_1098_
09:14:42,9.00,1,882,9.00_9.01_9.02_9.03_9.04_,599_960_649_599_550_,8.99_8.98_8.97_8.96_8.95_,662_1395_1338_1344_1098_
09:15:08,9.00,1,882,9.00_9.01_9.02_9.03_9.04_,699_760_549_549_549_,8.99_8.98_8.97_8.96_8.95_,673_1103_1038_1044_798_
09:15:13,9.00,1,882,9.00_9.01_9.02_9.03_9.04_,599_810_549_549_549_,8.99_8.98_8.97_8.96_8.95_,673_1103_1058_1044_798_
09:15:28,9.00,50,932,9.00_9.01_9.02_9.03_9.04_,599_810_549_549_549_,8.99_8.98_8.97_8.96_8.95_,679_1103_1058_1044_798_
09:15:44,9.00,50,932,9.00_9.01_9.02_9.03_9.04_,599_810_549_549_549_,8.99_8.98_8.97_8.96_8.95_,810_1203_1058_1044_798_
09:16:09,9.00,50,932,9.00_9.01_9.02_9.03_9.04_,704_760_549_549_549_,8.99_8.98_8.97_8.96_8.95_,810_1203_1058_1044_798_
09:16:29,9.00,50,982,9.00_9.01_9.02_9.03_9.04_,554_810_549_549_549_,8.99_8.98_8.97_8.96_8.95_,812_1203_1058_1044_803_
09:16:55,9.00,3,1085,9.00_9.01_9.02_9.03_9.04_,551_960_649_599_550_,8.99_8.98_8.97_8.96_8.95_,712_1503_1358_1344_1104_
09:17:26,9.00,3,1085,9.00_9.01_9.02_9.03_9.04_,551_960_649_599_550_,8.99_8.98_8.97_8.96_8.95_,717_1503_1358_1344_1104_
09:18:17,9.00,3,1085,9.00_9.01_9.02_9.03_9.04_,5_860_849_599_550_,8.99_8.98_8.97_8.96_8.95_,1017_1503_1647_1055_1104_
09:18:37,9.00,5,1090,9.01_9.02_9.03_9.04_9.05_,860_849_599_550_367_,9.00_8.99_8.98_8.97_8.96_,1_1022_1503_1647_1055_
09:18:58,9.00,51,1141,9.00_9.01_9.02_9.03_9.04_,2_860_849_599_550_,8.99_8.98_8.97_8.96_8.95_,1122_1503_1358_1344_1104_
09:19:18,8.99,5,1146,9.00_9.01_9.02_9.03_9.04_,2_860_849_599_550_,8.99_8.98_8.97_8.96_8.95_,1117_1503_1358_1344_1104_
