10:43:50,31.30,1,6,31.30_31.31_31.39_31.40_31.41_,7_2_2_7_20_,31.22_31.21_28.53_28.52_28.19_,3_20_4_1_3_
11:10:19,31.30,1,6,31.30_31.31_31.39_31.40_31.41_,7_2_2_7_20_,31.22_31.21_28.53_28.52_28.19_,3_20_4_1_3_
11:12:32,31.30,1,6,31.30_31.31_31.39_31.40_31.41_,7_2_2_7_20_,31.22_31.21_28.53_28.52_28.19_,3_21_3_1_3_
11:14:25,31.30,1,6,31.30_31.31_31.39_31.40_31.41_,7_2_2_7_20_,31.22_31.21_28.53_28.52_28.19_,3_20_4_1_3_
11:17:24,31.30,1,6,31.30_31.31_31.39_31.40_31.41_,7_2_2_7_20_,31.22_31.21_28.53_28.52_28.19_,3_20_4_1_3_
11:18:41,31.30,1,6,31.30_31.31_31.39_31.40_31.41_,7_2_2_7_20_,31.22_31.21_28.53_28.52_28.19_,3_20_4_1_3_
11:22:42,31.30,1,6,31.30_31.31_31.39_31.40_31.41_,7_2_2_7_20_,31.22_31.21_28.53_28.52_28.19_,3_20_4_1_3_
11:26:12,31.30,1,6,31.30_31.31_31.39_31.40_31.41_,7_2_2_7_20_,31.22_31.21_28.53_28.52_28.19_,3_20_4_1_3_
11:28:26,31.30,1,6,31.30_31.31_31.39_31.40_31.41_,7_2_2_7_20_,31.22_31.21_28.53_28.52_28.19_,3_21_3_1_3_
11:29:27,31.30,1,6,31.30_31.31_31.39_31.40_31.41_,7_2_2_7_20_,31.22_31.21_28.53_28.52_28.19_,3_20_4_1_3_
11:32:01,31.30,1,6,31.30_31.31_31.39_31.40_31.41_,7_2_2_7_20_,31.22_31.21_28.53_28.52_28.19_,3_20_3_1_3_
11:40:12,31.30,1,6,31.30_31.31_31.39_31.40_31.41_,7_2_2_4_20_,31.22_31.21_28.53_28.52_28.19_,3_20_3_1_3_
11:41:34,31.30,1,6,31.29_31.30_31.31_31.39_31.40_,3_7_2_2_4_,31.22_31.21_28.53_28.52_28.19_,3_20_3_1_3_
11:47:28,31.30,1,6,31.29_31.30_31.31_31.39_31.40_,3_7_2_2_4_,31.22_31.21_28.53_28.52_28.19_,3_20_4_1_3_
11:54:23,31.30,1,6,31.29_31.30_31.31_31.39_31.40_,3_7_2_2_4_,31.22_31.21_28.53_28.52_28.19_,3_20_4_1_3_
12:04:08,31.30,1,6,31.29_31.30_31.31_31.39_31.40_,3_7_2_2_4_,31.22_31.21_28.53_28.52_28.19_,3_20_4_1_3_
12:11:28,31.30,1,6,31.29_31.30_31.31_31.39_31.40_,3_7_2_2_4_,31.22_31.21_28.53_28.52_28.19_,3_20_4_1_3_
12:16:26,31.30,1,6,31.29_31.30_31.31_31.39_31.40_,3_7_2_2_4_,31.22_31.21_28.53_28.52_28.19_,3_20_4_1_3_
12:18:19,31.30,1,6,31.29_31.30_31.31_31.39_31.40_,3_7_2_2_4_,31.22_31.21_28.53_28.52_28.19_,3_20_4_1_3_
12:20:12,31.30,1,6,31.29_31.30_31.31_31.39_31.40_,3_7_2_2_4_,31.22_31.21_28.53_28.52_28.19_,3_20_4_1_3_
13:00:57,31.30,1,6,31.29_31.30_31.31_31.39_31.40_,3_7_2_2_4_,31.22_31.21_28.53_28.52_28.19_,3_20_3_1_3_
