09:00:27,59.90,2,60,59.90_60.00_60.10_60.40_60.50_,6_22_1_29_10_,59.80_59.70_59.60_59.50_59.40_,3_1_10_19_1_
09:01:44,60.00,1,95,60.00_60.10_60.40_60.50_60.70_,23_1_32_10_2_,59.90_59.80_59.70_59.60_59.50_,18_11_1_10_18_
09:01:49,60.00,1,96,60.00_60.10_60.30_60.40_60.50_,22_1_3_19_10_,59.90_59.80_59.70_59.60_59.50_,19_11_1_10_18_
09:01:55,60.00,6,102,60.00_60.10_60.30_60.40_60.50_,17_1_3_19_10_,59.90_59.80_59.70_59.60_59.50_,19_11_1_10_18_
09:02:00,60.00,1,103,60.00_60.10_60.30_60.40_60.50_,16_1_3_19_10_,59.90_59.80_59.70_59.60_59.50_,19_11_1_10_18_
09:02:31,60.10,1,146,60.30_60.40_60.50_60.70_60.80_,2_19_13_6_4_,60.00_59.90_59.80_59.70_59.60_,17_22_12_1_10_
09:03:27,60.40,3,153,60.40_60.50_60.60_60.70_60.80_,1_4_3_4_4_,60.10_60.00_59.90_59.80_59.60_,17_34_15_12_10_
09:04:13,60.50,1,162,60.50_60.70_60.80_60.90_61.00_,2_4_12_7_35_,60.40_60.20_60.10_60.00_59.90_,4_3_30_35_15_
09:04:18,60.50,2,164,60.70_60.80_60.90_61.00_61.10_,4_12_13_35_47_,60.50_60.40_60.20_60.10_60.00_,1_4_3_30_45_
09:04:24,60.50,2,164,60.70_60.80_60.90_61.00_61.10_,4_10_13_38_47_,60.50_60.40_60.20_60.10_60.00_,2_8_3_30_45_
09:04:29,60.50,2,164,60.60_60.70_60.80_60.90_61.00_,1_4_10_13_38_,60.50_60.40_60.20_60.10_60.00_,2_8_3_30_45_
09:04:34,60.60,1,165,60.70_60.80_60.90_61.00_61.10_,4_10_16_35_47_,60.60_60.50_60.40_60.20_60.10_,2_6_7_3_30_
09:04:55,60.70,1,167,60.70_60.80_60.90_61.00_61.10_,6_9_14_37_47_,60.60_60.50_60.40_60.20_60.10_,4_5_4_3_30_
09:05:00,60.70,1,167,60.70_60.80_60.90_61.00_61.10_,6_9_14_37_46_,60.60_60.50_60.30_60.20_60.10_,4_5_4_3_30_
09:05:05,60.70,2,169,60.70_60.80_60.90_61.00_61.10_,4_14_14_37_46_,60.60_60.50_60.30_60.20_60.10_,4_5_4_3_30_
09:05:10,60.60,1,170,60.70_60.80_60.90_61.00_61.10_,4_14_14_37_46_,60.60_60.50_60.30_60.20_60.10_,3_5_4_3_30_
09:06:42,60.50,4,187,60.50_60.60_60.70_60.80_60.90_,6_2_11_17_16_,60.30_60.20_60.10_60.00_59.90_,1_3_38_49_15_
09:07:08,60.50,2,194,60.50_60.60_60.70_60.80_60.90_,7_3_9_24_9_,60.40_60.30_60.20_60.10_60.00_,3_1_3_21_49_
09:07:54,60.40,2,202,60.40_60.50_60.60_60.70_60.80_,4_13_1_9_28_,60.30_60.20_60.10_60.00_59.90_,1_4_26_65_15_
09:08:50,60.40,3,212,60.50_60.60_60.70_60.80_60.90_,12_1_9_28_9_,60.40_60.30_60.20_60.10_60.00_,2_15_6_20_51_
09:09:01,60.40,1,213,60.50_60.60_60.70_60.80_60.90_,12_1_9_28_9_,60.40_60.30_60.20_60.10_60.00_,2_15_6_20_53_
09:11:55,60.70,1,264,60.80_60.90_61.00_61.10_61.30_,22_9_36_58_22_,60.70_60.50_60.40_60.30_60.20_,7_21_18_11_15_
09:12:00,60.70,1,264,60.80_60.90_61.00_61.10_61.30_,22_9_86_58_22_,60.70_60.60_60.50_60.40_60.30_,7_1_21_18_11_
09:12:05,60.70,1,264,60.80_60.90_61.00_61.10_61.30_,22_9_86_58_22_,60.70_60.60_60.50_60.40_60.30_,8_1_21_18_11_
09:12:10,60.70,1,264,60.80_60.90_61.00_61.10_61.30_,22_14_86_58_22_,60.70_60.60_60.50_60.40_60.30_,9_1_21_18_11_
09:12:21,60.70,1,265,60.80_60.90_61.00_61.10_61.30_,17_14_86_58_22_,60.70_60.60_60.50_60.40_60.30_,7_1_21_19_11_
09:13:02,60.70,1,274,60.70_60.80_60.90_61.00_61.10_,7_14_14_89_57_,60.60_60.50_60.40_60.30_60.20_,1_16_8_15_15_
09:13:07,60.70,7,281,60.80_60.90_61.00_61.10_61.30_,14_14_86_60_18_,60.70_60.50_60.40_60.30_60.20_,3_16_11_15_13_
09:13:12,60.70,7,281,60.80_60.90_61.00_61.10_61.20_,14_14_86_54_3_,60.70_60.50_60.40_60.30_60.20_,6_16_12_11_13_
09:13:17,60.70,3,284,60.80_60.90_61.00_61.10_61.20_,14_14_86_54_3_,60.70_60.50_60.40_60.30_60.20_,3_20_8_11_13_
09:13:22,60.70,3,284,60.80_60.90_61.00_61.10_61.20_,14_14_86_54_3_,60.70_60.50_60.40_60.30_60.20_,3_21_7_11_13_
09:13:22,60.70,3,284,60.80_60.90_61.00_61.10_61.20_,14_14_86_54_3_,60.70_60.50_60.40_60.30_60.20_,3_21_7_11_13_
09:13:58,60.80,1,290,60.80_60.90_61.00_61.10_61.20_,9_14_86_52_9_,60.70_60.50_60.40_60.30_60.20_,3_17_10_11_13_
09:14:39,60.80,2,302,60.90_61.00_61.10_61.20_61.30_,14_84_52_5_16_,60.80_60.70_60.60_60.50_60.40_,2_2_5_16_3_
09:15:05,60.60,7,309,60.80_60.90_61.00_61.10_61.20_,8_9_82_52_5_,60.70_60.50_60.40_60.30_60.20_,2_21_4_11_13_
09:15:10,60.80,1,310,60.80_60.90_61.00_61.10_61.20_,7_9_82_52_5_,60.70_60.50_60.40_60.30_60.20_,2_21_4_11_13_
09:15:15,60.80,1,311,60.80_60.90_61.00_61.10_61.20_,6_9_82_52_5_,60.70_60.50_60.40_60.30_60.20_,6_17_4_11_13_
