09:00:22,37.60,2,4,42.84_42.85_,1_2_,37.60_37.20_36.80_,1_4_5_
09:41:24,37.99,5,11,38.25_38.26_42.84_42.85_,10_10_1_2_,37.87_37.86_37.85_37.20_36.80_,10_10_10_4_5_
09:42:05,37.99,5,11,38.24_38.25_42.84_42.85_,10_10_1_2_,37.86_37.85_37.84_37.20_36.80_,10_10_10_4_5_
09:42:10,37.99,5,11,38.25_38.26_42.84_42.85_,10_10_1_2_,37.86_37.85_37.84_37.20_36.80_,10_10_10_4_5_
09:42:15,37.99,5,11,38.25_38.26_42.84_42.85_,10_10_1_2_,37.87_37.86_37.85_37.20_36.80_,10_10_10_4_5_
09:44:03,37.99,5,11,38.25_38.26_42.84_42.85_,10_10_1_2_,37.87_37.86_37.85_37.20_36.80_,10_10_10_4_5_
09:44:13,37.99,5,11,38.24_38.25_42.84_42.85_,10_10_1_2_,37.86_37.85_37.84_37.20_36.80_,10_10_10_4_5_
09:45:15,37.99,5,11,38.24_38.25_42.84_42.85_,10_10_1_2_,37.86_37.85_37.84_37.20_36.80_,10_10_10_4_5_
09:45:40,37.93,3,14,38.25_38.26_42.84_42.85_,10_10_1_2_,37.87_37.86_37.85_37.20_36.80_,10_10_10_4_5_
09:45:45,37.93,3,14,38.32_38.33_42.84_42.85_,10_10_1_2_,37.94_37.93_37.92_37.20_36.80_,10_10_10_4_5_
09:45:56,37.93,3,14,38.24_38.25_42.84_42.85_,10_10_1_2_,37.86_37.85_37.84_37.20_36.80_,10_10_10_4_5_
09:46:11,37.93,3,14,38.32_38.33_42.84_42.85_,10_10_1_2_,37.93_37.92_37.91_37.20_36.80_,10_10_10_4_5_
09:46:57,37.93,3,14,38.32_38.33_42.84_42.85_,10_10_1_2_,37.94_37.93_37.92_37.20_36.80_,10_10_10_4_5_
09:47:49,37.93,3,14,38.32_38.33_42.84_42.85_,10_10_1_2_,37.93_37.92_37.91_37.20_36.80_,10_10_10_4_5_
09:47:54,37.93,3,14,38.31_38.32_42.84_42.85_,10_10_1_2_,37.93_37.92_37.91_37.20_36.80_,10_10_10_4_5_
09:51:08,37.93,3,14,38.23_38.24_42.84_42.85_,10_10_1_2_,37.85_37.84_37.83_37.20_36.80_,10_10_10_4_5_
09:51:34,37.93,3,14,38.30_38.31_42.84_42.85_,10_10_1_2_,37.92_37.91_37.90_37.20_36.80_,10_10_10_4_5_
09:51:44,37.93,3,14,38.24_38.25_42.84_42.85_,10_10_1_2_,37.85_37.84_37.83_37.20_36.80_,10_10_10_4_5_
