09:03:01,42.74,1,1,43.00_43.11_44.85_45.50_46.10_,1_1_1_3_1_,42.69_41.12_40.69_40.26_,1_3_4_5_
09:03:06,42.74,1,1,43.00_43.04_43.11_44.85_45.50_,1_1_1_1_3_,42.69_42.65_41.12_40.69_40.26_,1_1_3_4_5_
09:03:16,42.74,1,1,43.00_43.05_44.85_45.50_46.10_,2_1_1_3_1_,42.63_42.61_41.12_40.69_40.26_,1_1_3_4_5_
09:03:21,42.74,1,1,43.00_43.04_43.05_44.85_45.50_,1_1_1_1_3_,42.66_42.62_41.12_40.69_40.26_,1_1_3_4_5_
09:06:36,42.74,1,1,42.93_43.00_43.04_44.85_45.50_,1_101_1_1_3_,42.63_42.55_41.13_41.12_40.69_,1_2_3_3_4_
09:09:35,42.74,1,1,42.93_43.00_43.05_44.85_45.50_,1_101_1_1_3_,42.63_42.55_41.13_41.12_40.69_,1_2_3_3_4_
09:10:52,42.74,1,1,42.93_42.97_43.00_44.85_45.50_,1_101_1_1_3_,42.55_42.54_41.13_41.12_40.69_,1_1_4_3_4_
09:11:43,42.74,1,1,42.98_43.00_44.85_45.50_46.10_,102_1_1_3_1_,42.60_42.56_41.13_41.12_40.69_,1_1_4_3_4_
09:13:51,42.74,1,1,42.97_42.98_43.00_44.85_45.50_,1_101_1_1_3_,42.59_42.55_41.13_41.12_40.69_,1_1_4_3_4_
09:14:37,42.74,1,1,42.92_43.00_43.04_44.85_45.50_,1_101_1_1_3_,42.62_42.55_42.54_41.13_41.12_,1_1_1_3_3_
09:14:57,42.74,1,1,42.98_43.00_44.85_45.50_46.10_,2_101_1_3_1_,42.59_42.56_41.13_41.12_40.69_,1_1_3_3_4_
09:19:34,42.74,1,1,42.93_42.94_42.95_43.00_44.85_,1_100_1_1_1_,42.56_42.51_41.13_41.12_40.69_,1_1_4_3_4_
09:20:25,42.74,1,1,42.90_42.99_43.00_44.85_45.50_,1_1_101_1_3_,42.57_42.52_41.13_41.12_40.69_,1_1_3_3_4_
09:23:55,42.74,1,1,42.75_42.78_42.87_43.00_44.85_,100_1_1_1_1_,42.45_42.40_42.07_42.05_42.03_,1_1_2_1_1_
09:25:02,42.74,1,1,42.80_42.81_43.00_44.85_45.50_,100_2_1_1_3_,42.43_42.39_42.07_42.05_42.03_,1_1_2_1_1_
09:25:17,42.74,1,1,42.76_42.81_43.00_44.85_45.50_,1_1_1_1_3_,42.39_42.37_42.07_42.05_42.03_,1_1_2_1_1_
09:25:22,42.74,1,1,42.76_42.89_43.00_44.85_45.50_,1_1_101_1_3_,42.47_42.39_42.37_42.07_42.05_,1_1_1_1_1_
09:25:27,42.74,1,1,42.76_42.88_42.89_43.00_44.85_,1_1_100_1_1_,42.47_42.39_42.37_42.07_42.05_,1_1_1_1_1_
09:25:32,42.74,1,1,42.76_42.89_43.00_44.85_45.50_,1_101_1_1_3_,42.47_42.39_42.37_42.07_42.05_,1_1_1_1_1_
09:25:38,42.74,1,1,42.82_42.88_42.89_43.00_44.85_,1_100_1_1_1_,42.47_42.43_42.07_42.05_42.03_,1_1_1_1_1_
