09:00:14,9.18,23,23,9.18_9.19_9.20_9.22_9.23_,2_24_91_53_7_,9.17_9.10_9.09_9.08_9.07_,2_18_14_10_19_
09:05:53,9.11,1,27,9.17_9.18_9.19_9.20_9.21_,3_7_29_88_7_,9.11_9.10_9.09_9.08_9.07_,17_21_27_15_58_
09:07:20,9.11,1,27,9.17_9.18_9.19_9.20_9.21_,3_6_29_88_7_,9.12_9.11_9.10_9.09_9.08_,35_18_27_22_50_
09:08:16,9.11,1,27,9.17_9.18_9.19_9.20_9.21_,5_6_29_88_7_,9.12_9.11_9.10_9.09_9.08_,35_20_33_21_50_
09:10:34,9.11,1,27,9.16_9.17_9.18_9.19_9.20_,1_5_13_29_89_,9.14_9.13_9.12_9.11_9.10_,11_6_67_18_71_
09:12:12,9.11,1,27,9.17_9.18_9.19_9.20_9.21_,5_13_29_88_7_,9.14_9.13_9.12_9.11_9.10_,11_6_17_26_66_
09:13:03,9.11,1,27,9.17_9.18_9.19_9.20_9.21_,5_13_29_88_7_,9.14_9.13_9.12_9.11_9.10_,11_6_16_26_67_
09:14:20,9.11,1,27,9.17_9.18_9.19_9.20_9.21_,5_13_29_88_7_,9.14_9.13_9.12_9.11_9.10_,11_6_16_28_67_
09:15:01,9.11,1,27,9.17_9.18_9.19_9.20_9.21_,5_13_29_88_7_,9.14_9.13_9.12_9.11_9.10_,10_5_9_28_67_
09:20:04,9.17,2,36,9.18_9.19_9.20_9.21_9.22_,16_29_88_6_54_,9.13_9.12_9.11_9.10_9.09_,8_13_26_37_49_
09:23:13,9.16,2,39,9.17_9.18_9.19_9.20_9.21_,14_15_29_88_9_,9.13_9.12_9.11_9.10_9.09_,11_13_31_37_50_
09:26:08,9.16,2,39,9.16_9.17_9.18_9.19_9.20_,4_10_15_29_91_,9.13_9.12_9.11_9.10_9.09_,11_13_31_27_63_
09:28:26,9.16,2,39,9.15_9.16_9.17_9.18_9.19_,10_4_10_15_32_,9.13_9.12_9.11_9.10_9.09_,8_8_26_22_65_
09:32:17,9.14,1,41,9.15_9.16_9.17_9.18_9.19_,10_4_10_15_30_,9.13_9.12_9.11_9.10_9.09_,8_7_24_28_65_
09:38:00,9.12,7,56,9.14_9.15_9.17_9.18_9.19_,100_10_10_15_30_,9.11_9.10_9.09_9.08_9.07_,28_37_16_24_61_
09:38:41,9.12,7,56,9.14_9.15_9.17_9.18_9.19_,100_10_10_15_44_,9.11_9.10_9.09_9.08_9.07_,28_37_16_24_61_
09:42:01,9.12,7,56,9.14_9.15_9.17_9.18_9.19_,101_10_10_15_44_,9.11_9.10_9.09_9.08_9.07_,29_39_16_24_61_
09:48:25,9.12,7,56,9.13_9.14_9.15_9.17_9.18_,1_101_10_10_16_,9.12_9.11_9.10_9.09_9.08_,3_29_39_16_66_
09:49:42,9.12,7,56,9.13_9.14_9.15_9.17_9.18_,1_100_10_10_16_,9.12_9.11_9.10_9.09_9.08_,3_29_39_16_66_
09:51:04,9.12,7,56,9.13_9.14_9.15_9.17_9.18_,1_100_10_10_16_,9.12_9.11_9.10_9.09_9.08_,5_29_39_16_66_
09:56:01,9.13,1,63,9.14_9.17_9.18_9.19_9.20_,100_10_15_43_91_,9.11_9.10_9.09_9.08_9.07_,28_39_16_24_55_
09:57:39,9.13,1,63,9.13_9.14_9.17_9.18_9.19_,32_100_10_15_44_,9.11_9.10_9.09_9.08_9.07_,28_39_16_14_65_
10:01:34,9.13,1,69,9.13_9.14_9.17_9.18_9.19_,31_100_10_15_44_,9.12_9.11_9.10_9.09_9.08_,14_22_39_14_61_
10:03:02,9.13,1,70,9.13_9.14_9.17_9.18_9.19_,30_100_10_15_44_,9.12_9.11_9.10_9.09_9.08_,14_23_38_65_60_
10:05:05,9.13,1,70,9.13_9.14_9.17_9.18_9.19_,30_100_10_15_44_,9.12_9.11_9.10_9.09_9.08_,18_23_38_65_60_
10:05:25,9.13,1,70,9.13_9.14_9.17_9.18_9.19_,30_100_10_15_44_,9.12_9.11_9.10_9.09_9.08_,21_23_38_65_60_
10:07:13,9.17,1,201,9.17_9.18_9.19_9.20_9.21_,9_15_43_90_7_,9.15_9.12_9.11_9.10_9.09_,2_22_34_38_101_
10:07:49,9.17,1,202,9.17_9.18_9.19_9.20_9.21_,8_15_43_90_7_,9.15_9.12_9.11_9.10_9.09_,2_22_34_38_101_
10:09:52,9.17,1,202,9.17_9.18_9.19_9.20_9.21_,8_15_43_90_7_,9.15_9.13_9.12_9.11_9.10_,2_6_16_34_68_
10:13:02,9.17,1,206,9.17_9.18_9.19_9.20_9.21_,4_15_43_91_7_,9.13_9.12_9.11_9.10_9.09_,7_15_22_47_103_
10:19:01,9.17,1,206,9.17_9.18_9.19_9.20_9.21_,4_15_43_91_9_,9.14_9.13_9.12_9.11_9.10_,1_7_15_32_74_
10:21:04,9.17,1,206,9.17_9.18_9.19_9.20_9.21_,14_15_43_91_9_,9.13_9.12_9.11_9.10_9.09_,7_15_22_47_101_
10:24:29,9.17,1,206,9.17_9.18_9.19_9.20_9.21_,19_25_43_86_9_,9.13_9.12_9.11_9.10_9.09_,7_15_22_42_101_
10:26:17,9.17,1,206,9.16_9.17_9.18_9.19_9.20_,21_19_25_43_89_,9.13_9.12_9.11_9.10_9.09_,7_15_22_42_99_
10:28:46,9.17,1,206,9.16_9.17_9.18_9.19_9.20_,21_19_25_43_89_,9.13_9.12_9.11_9.10_9.09_,9_15_22_42_99_
10:30:02,9.17,1,206,9.16_9.17_9.18_9.19_9.20_,21_19_25_43_89_,9.13_9.12_9.11_9.10_9.09_,9_15_27_43_98_
10:32:36,9.17,1,206,9.16_9.17_9.18_9.19_9.20_,21_19_25_43_89_,9.14_9.13_9.12_9.11_9.10_,3_9_15_27_79_
10:45:15,9.13,1,222,9.13_9.16_9.17_9.18_9.19_,2_20_121_125_44_,9.12_9.11_9.10_9.09_9.08_,15_28_39_14_62_
10:46:01,9.13,1,222,9.13_9.16_9.17_9.18_9.19_,2_20_121_125_44_,9.12_9.11_9.10_9.09_9.08_,15_28_39_14_61_
10:47:03,9.16,1,228,9.16_9.17_9.18_9.19_9.20_,19_121_125_43_87_,9.12_9.11_9.10_9.09_9.08_,15_38_39_24_50_
10:53:58,9.16,1,228,9.15_9.16_9.17_9.18_9.19_,8_19_121_125_44_,9.12_9.11_9.10_9.09_9.08_,15_38_39_24_50_
10:55:05,9.16,1,228,9.15_9.16_9.17_9.18_9.19_,11_19_121_125_44_,9.12_9.11_9.10_9.09_9.08_,15_38_39_24_50_
11:00:07,9.15,1,234,9.14_9.15_9.16_9.17_9.18_,3_2_19_121_126_,9.12_9.11_9.10_9.09_9.08_,21_40_38_14_60_
11:01:09,9.14,3,237,9.15_9.16_9.17_9.18_9.19_,2_19_121_125_44_,9.12_9.11_9.10_9.09_9.08_,21_40_38_24_50_
11:04:24,9.16,1,240,9.16_9.17_9.18_9.19_9.20_,18_121_125_43_87_,9.12_9.11_9.10_9.09_9.08_,31_41_38_24_53_
11:06:27,9.16,2,260,9.17_9.18_9.19_9.20_9.21_,121_125_43_86_7_,9.12_9.11_9.10_9.09_9.08_,32_42_47_14_55_
11:08:51,9.17,1,358,9.17_9.18_9.19_9.20_9.21_,35_125_43_86_7_,9.12_9.11_9.10_9.09_9.08_,32_42_49_15_55_
11:09:01,9.17,1,358,9.17_9.18_9.19_9.20_9.21_,35_125_43_86_7_,9.12_9.11_9.10_9.09_9.08_,32_42_49_14_56_
11:14:34,9.17,1,358,9.17_9.18_9.19_9.20_9.21_,50_125_43_86_7_,9.12_9.11_9.10_9.09_9.08_,34_42_49_14_56_
11:16:17,9.17,1,361,9.17_9.18_9.19_9.20_9.21_,47_125_43_86_7_,9.12_9.11_9.10_9.09_9.08_,32_42_49_14_56_
11:18:05,9.12,3,364,9.16_9.17_9.18_9.19_9.20_,1_47_125_43_86_,9.12_9.11_9.10_9.09_9.08_,29_47_49_17_53_
