09:00:20,255.00,3,3,255.00_256.00_257.00_258.00_258.50_,1_3_10_12_1_,254.00_253.00_252.00_251.50_250.50_,1_1_2_3_3_
09:01:42,255.00,3,3,255.00_256.00_257.00_258.00_258.50_,16_5_10_12_1_,254.00_253.00_252.50_252.00_251.50_,1_1_4_2_3_
09:01:57,254.00,1,5,255.00_256.00_257.00_258.00_258.50_,15_5_10_12_1_,253.00_252.50_252.00_251.50_250.50_,1_4_2_3_3_
09:02:23,254.00,1,5,255.00_256.00_257.00_258.00_258.50_,17_3_10_12_1_,252.00_251.50_251.00_250.50_250.00_,5_4_1_3_4_
09:03:04,254.00,1,5,255.00_256.00_257.00_258.00_258.50_,17_3_10_13_1_,252.00_251.50_251.00_250.50_250.00_,5_4_1_3_4_
09:04:00,254.00,1,5,254.50_255.00_256.00_257.00_258.00_,1_18_1_12_13_,252.00_251.50_251.00_250.50_250.00_,2_6_2_3_4_
09:04:36,254.00,1,5,254.50_255.00_256.00_257.00_258.00_,1_18_1_12_14_,252.00_251.50_251.00_250.50_250.00_,2_6_2_3_4_
09:04:41,254.00,1,5,254.50_255.00_256.00_257.00_258.00_,1_18_3_12_14_,252.00_251.50_251.00_250.50_250.00_,2_6_2_3_4_
09:05:02,254.00,1,5,254.50_255.00_256.00_257.00_258.00_,2_18_3_12_14_,252.00_251.50_251.00_250.50_250.00_,3_6_2_3_4_
09:05:32,254.00,1,5,254.50_255.00_256.00_257.00_258.00_,2_18_3_12_15_,252.00_251.50_251.00_250.50_250.00_,3_6_2_3_4_
09:05:53,254.00,1,5,254.50_255.00_256.00_257.00_258.00_,2_18_3_12_16_,252.50_252.00_251.50_251.00_250.50_,1_3_7_1_3_
09:06:34,254.00,1,5,254.50_255.00_256.00_257.00_258.00_,2_18_3_12_16_,252.50_252.00_251.50_251.00_250.50_,1_2_7_1_3_
09:06:39,254.00,1,5,254.50_255.00_256.00_257.00_258.00_,2_18_3_12_16_,252.50_252.00_251.50_251.00_250.50_,3_2_7_1_3_
09:07:25,254.00,1,5,254.00_254.50_255.00_256.00_257.00_,1_2_18_4_12_,252.50_252.00_251.50_251.00_250.50_,3_2_7_1_3_
09:07:30,254.00,1,5,254.00_254.50_255.00_256.00_257.00_,1_2_18_4_12_,252.50_252.00_251.50_251.00_250.50_,3_2_6_2_3_
09:07:51,254.00,1,5,254.00_254.50_255.00_256.00_257.00_,1_2_18_4_11_,252.50_252.00_251.50_251.00_250.50_,3_2_6_2_3_
09:08:11,254.00,1,5,254.00_254.50_255.00_256.00_257.00_,1_2_18_4_11_,252.50_252.00_251.50_251.00_250.50_,3_2_6_2_4_
09:08:31,254.00,1,5,253.00_254.00_254.50_255.00_256.00_,1_1_5_16_4_,252.50_252.00_251.50_251.00_250.50_,3_2_3_3_6_
09:08:57,254.00,1,5,253.00_254.00_254.50_255.00_256.00_,1_1_6_16_4_,252.50_252.00_251.50_251.00_250.50_,2_2_3_3_6_
09:09:33,252.50,2,7,253.00_254.00_254.50_255.00_256.00_,1_1_6_16_4_,252.50_252.00_251.50_251.00_250.50_,1_2_3_3_6_
09:09:38,252.50,2,7,253.00_254.00_254.50_255.00_256.00_,1_1_6_16_4_,252.50_252.00_251.50_251.00_250.50_,1_2_3_4_5_
