09:00:01,16.40,124,124,16.41_16.42_16.43_16.44_16.45_,23_29_34_14_23_,16.40_16.39_16.38_16.37_16.36_,110_10_47_3_22_
09:00:32,16.42,1,195,16.42_16.43_16.44_16.45_16.46_,9_34_14_23_7_,16.41_16.40_16.39_16.38_16.37_,2_113_10_47_3_
09:02:04,16.42,3,276,16.43_16.44_16.45_16.46_16.47_,35_15_45_55_14_,16.42_16.40_16.39_16.38_16.37_,17_85_10_107_63_
09:02:09,16.42,2,278,16.43_16.44_16.45_16.46_16.47_,35_15_45_55_14_,16.42_16.41_16.40_16.39_16.38_,15_5_235_10_107_
09:02:14,16.42,2,278,16.43_16.44_16.45_16.46_16.47_,35_15_45_55_14_,16.42_16.41_16.40_16.39_16.38_,15_5_295_70_107_
09:02:19,16.42,4,282,16.43_16.44_16.45_16.46_16.47_,35_15_45_55_14_,16.42_16.41_16.40_16.39_16.38_,11_5_295_70_107_
09:02:24,16.43,35,317,16.44_16.45_16.46_16.47_16.48_,15_45_55_14_11_,16.43_16.42_16.41_16.40_16.39_,15_11_5_297_70_
09:02:29,16.43,12,329,16.44_16.45_16.46_16.47_16.48_,15_43_5_64_11_,16.43_16.42_16.41_16.40_16.39_,3_11_5_297_70_
09:02:35,16.43,1,330,16.44_16.45_16.46_16.47_16.48_,15_43_5_64_11_,16.43_16.42_16.41_16.40_16.39_,2_11_5_297_70_
09:02:40,16.43,1,330,16.44_16.45_16.46_16.47_16.48_,15_43_5_64_11_,16.43_16.42_16.41_16.40_16.39_,16_11_6_297_70_
09:02:45,16.43,3,333,16.44_16.45_16.46_16.47_16.48_,15_43_5_64_11_,16.43_16.42_16.41_16.40_16.39_,13_11_6_297_70_
09:02:50,16.43,13,346,16.43_16.44_16.45_16.46_16.47_,27_55_43_5_64_,16.42_16.41_16.40_16.39_16.38_,11_6_297_70_47_
09:02:55,16.43,1,347,16.43_16.44_16.45_16.46_16.47_,1_15_43_55_14_,16.42_16.41_16.40_16.39_16.38_,11_6_297_70_107_
09:03:00,16.43,1,347,16.43_16.44_16.45_16.46_16.47_,1_15_43_55_14_,16.42_16.41_16.40_16.39_16.38_,31_6_297_70_107_
09:03:16,16.44,27,374,16.45_16.46_16.47_16.48_16.49_,43_5_14_62_23_,16.44_16.42_16.41_16.40_16.39_,23_31_11_297_70_
09:04:01,16.44,1,432,16.45_16.46_16.47_16.48_16.49_,27_17_14_62_23_,16.44_16.43_16.42_16.41_16.40_,3_36_31_72_146_
09:04:12,16.44,1,433,16.45_16.46_16.47_16.48_16.49_,27_18_14_62_23_,16.44_16.43_16.42_16.41_16.40_,2_36_31_82_146_
09:04:17,16.45,3,436,16.45_16.46_16.47_16.48_16.49_,24_18_14_62_23_,16.44_16.43_16.42_16.41_16.40_,2_36_31_82_146_
09:04:22,16.44,7,443,16.44_16.45_16.46_16.47_16.48_,4_24_18_14_62_,16.43_16.42_16.41_16.40_16.39_,36_31_82_146_10_
09:05:03,16.45,13,482,16.45_16.46_16.47_16.48_16.49_,1_18_14_62_23_,16.44_16.43_16.42_16.41_16.40_,2_37_31_22_147_
09:05:44,16.44,4,531,16.44_16.45_16.46_16.47_16.48_,18_50_19_64_12_,16.43_16.42_16.41_16.40_16.39_,37_31_22_147_70_
09:07:21,16.45,5,613,16.45_16.46_16.47_16.48_16.49_,51_20_16_62_26_,16.44_16.43_16.42_16.41_16.40_,50_194_31_95_166_
09:12:03,16.43,1,904,16.44_16.45_16.46_16.47_16.48_,44_110_27_66_9_,16.43_16.42_16.41_16.40_16.39_,122_82_123_167_70_
09:12:18,16.43,1,905,16.44_16.45_16.46_16.47_16.48_,46_110_27_66_49_,16.43_16.42_16.41_16.40_16.39_,122_82_23_207_70_
09:14:26,16.43,1,1038,16.43_16.44_16.45_16.46_16.47_,4_61_166_68_16_,16.42_16.41_16.40_16.39_16.38_,83_23_214_70_108_
09:14:31,16.43,1,1038,16.43_16.44_16.45_16.46_16.47_,4_63_166_68_16_,16.42_16.41_16.40_16.39_16.38_,83_23_214_70_108_
09:14:42,16.43,1,1043,16.43_16.44_16.45_16.46_16.47_,1_61_116_17_66_,16.42_16.41_16.40_16.39_16.38_,83_23_174_70_49_
09:14:47,16.43,1,1043,16.43_16.44_16.45_16.46_16.47_,3_61_166_67_16_,16.42_16.41_16.40_16.39_16.38_,83_23_214_70_109_
09:14:52,16.43,1,1043,16.43_16.44_16.45_16.46_16.47_,3_61_166_67_16_,16.42_16.41_16.40_16.39_16.38_,84_23_214_70_109_
09:14:57,16.43,1,1043,16.43_16.44_16.45_16.46_16.47_,3_61_166_67_16_,16.42_16.41_16.40_16.39_16.38_,84_63_174_70_109_
09:15:17,16.43,5,1051,16.44_16.45_16.46_16.47_16.48_,60_116_17_106_31_,16.43_16.42_16.41_16.40_16.39_,22_84_82_174_110_
09:16:34,16.42,2,1103,16.43_16.44_16.45_16.46_16.47_,11_60_167_69_16_,16.42_16.41_16.40_16.39_16.38_,59_22_179_70_109_
09:16:45,16.42,10,1172,16.42_16.43_16.44_16.45_16.46_,22_11_110_167_29_,16.41_16.40_16.39_16.38_16.37_,22_119_50_109_63_
09:17:00,16.42,10,1172,16.42_16.43_16.44_16.45_16.46_,1_24_60_167_119_,16.41_16.40_16.39_16.38_16.37_,27_119_50_109_63_
09:17:20,16.42,2,1174,16.43_16.44_16.45_16.46_16.47_,14_110_167_29_56_,16.42_16.41_16.40_16.39_16.38_,8_27_159_10_108_
09:17:31,16.42,2,1174,16.43_16.44_16.45_16.46_16.47_,14_61_167_119_56_,16.42_16.41_16.40_16.39_16.38_,8_47_179_110_108_
09:17:36,16.42,2,1174,16.43_16.44_16.45_16.46_16.47_,14_61_167_79_56_,16.41_16.40_16.39_16.38_16.37_,47_219_70_108_4_
09:18:17,16.43,10,1212,16.44_16.45_16.46_16.47_16.48_,60_117_119_106_31_,16.43_16.42_16.41_16.40_16.39_,2_2_115_179_110_
09:18:22,16.43,10,1212,16.44_16.45_16.46_16.47_16.48_,60_117_79_106_71_,16.43_16.42_16.41_16.40_16.39_,2_2_115_219_70_
09:18:27,16.43,1,1213,16.44_16.45_16.46_16.47_16.48_,60_117_69_106_31_,16.43_16.42_16.41_16.40_16.39_,1_2_118_179_110_
09:18:32,16.43,1,1214,16.43_16.44_16.45_16.46_16.47_,1_61_157_119_66_,16.42_16.41_16.40_16.39_16.38_,2_118_179_70_88_
09:18:37,16.43,1,1214,16.43_16.44_16.45_16.46_16.47_,1_61_207_119_16_,16.42_16.41_16.40_16.39_16.38_,2_58_179_70_148_
09:18:42,16.42,1,1215,16.43_16.44_16.45_16.46_16.47_,1_59_167_119_56_,16.42_16.41_16.40_16.39_16.38_,1_58_179_110_108_
09:18:58,16.42,1,1215,16.43_16.44_16.45_16.46_16.47_,13_59_167_119_56_,16.42_16.41_16.40_16.39_16.38_,27_58_179_110_108_
09:20:19,16.43,10,1236,16.43_16.44_16.45_16.46_16.47_,10_60_207_119_16_,16.42_16.41_16.40_16.39_16.38_,31_58_177_70_148_
09:20:35,16.43,10,1236,16.43_16.44_16.45_16.46_16.47_,12_60_207_119_16_,16.42_16.41_16.40_16.39_16.38_,51_58_177_70_148_
09:21:06,16.43,1,1237,16.43_16.44_16.45_16.46_16.47_,22_60_167_79_16_,16.42_16.41_16.40_16.39_16.38_,61_58_177_70_108_
09:21:11,16.43,1,1237,16.43_16.44_16.45_16.46_16.47_,22_60_167_119_56_,16.42_16.41_16.40_16.39_16.38_,61_58_177_110_108_
09:21:21,16.43,1,1238,16.43_16.44_16.45_16.46_16.47_,22_60_167_79_16_,16.42_16.41_16.40_16.39_16.38_,61_58_177_70_108_
09:21:26,16.43,1,1238,16.43_16.44_16.45_16.46_16.47_,23_60_207_119_16_,16.42_16.41_16.40_16.39_16.38_,61_58_177_70_148_
09:21:31,16.43,1,1238,16.43_16.44_16.45_16.46_16.47_,24_60_207_119_16_,16.42_16.41_16.40_16.39_16.38_,61_58_177_70_148_
09:21:52,16.43,2,1240,16.43_16.44_16.45_16.46_16.47_,22_60_207_119_16_,16.42_16.41_16.40_16.39_16.38_,81_58_177_70_148_
09:22:22,16.42,3,1253,16.43_16.44_16.45_16.46_16.47_,16_60_167_77_16_,16.42_16.41_16.40_16.39_16.38_,78_58_177_70_108_
09:23:24,16.43,5,1273,16.43_16.44_16.45_16.46_16.47_,2_59_207_117_16_,16.42_16.41_16.40_16.39_16.38_,77_57_187_70_148_
09:23:34,16.43,5,1273,16.43_16.44_16.45_16.46_16.47_,2_59_167_77_16_,16.42_16.41_16.40_16.39_16.38_,77_57_187_70_108_
09:23:39,16.43,5,1273,16.43_16.44_16.45_16.46_16.47_,2_59_207_117_16_,16.42_16.41_16.40_16.39_16.38_,77_57_187_70_138_
09:23:49,16.43,5,1273,16.43_16.44_16.45_16.46_16.47_,2_59_167_77_16_,16.42_16.41_16.40_16.39_16.38_,77_57_187_70_98_
09:23:54,16.44,3,1276,16.44_16.45_16.46_16.47_16.48_,98_207_77_16_32_,16.42_16.41_16.40_16.39_16.38_,77_57_187_70_98_
09:25:37,16.43,8,1359,16.43_16.44_16.45_16.46_16.47_,32_108_117_17_66_,16.42_16.41_16.40_16.39_16.38_,68_112_187_70_38_
09:25:47,16.43,8,1359,16.44_16.45_16.46_16.47_16.48_,108_207_67_16_120_,16.42_16.41_16.40_16.39_16.38_,68_52_187_70_98_
09:26:33,16.44,11,1423,16.44_16.45_16.46_16.47_16.48_,87_157_17_66_120_,16.43_16.42_16.41_16.40_16.39_,9_59_112_189_70_
09:26:38,16.44,11,1423,16.44_16.45_16.46_16.47_16.48_,48_117_57_106_120_,16.43_16.42_16.41_16.40_16.39_,9_59_112_189_110_
09:26:43,16.44,8,1431,16.44_16.45_16.46_16.47_16.48_,40_117_107_106_119_,16.43_16.42_16.41_16.40_16.39_,9_59_112_189_110_
09:27:55,16.44,2,1449,16.44_16.45_16.46_16.47_16.48_,41_117_107_106_31_,16.43_16.42_16.41_16.40_16.39_,29_69_113_189_110_
09:28:00,16.44,2,1449,16.44_16.45_16.46_16.47_16.48_,42_122_107_106_31_,16.43_16.42_16.41_16.40_16.39_,30_69_113_189_110_
09:28:10,16.44,2,1449,16.44_16.45_16.46_16.47_16.48_,42_122_67_66_31_,16.43_16.42_16.41_16.40_16.39_,30_69_113_189_70_
09:28:15,16.44,2,1449,16.44_16.45_16.46_16.47_16.48_,42_122_57_106_31_,16.43_16.42_16.41_16.40_16.39_,30_69_113_190_110_
09:28:21,16.44,2,1449,16.44_16.45_16.46_16.47_16.48_,44_122_107_106_31_,16.43_16.42_16.41_16.40_16.39_,30_69_113_190_110_
09:28:31,16.44,2,1449,16.44_16.45_16.46_16.47_16.48_,44_122_67_66_31_,16.43_16.42_16.41_16.40_16.39_,30_69_113_190_70_
09:28:41,16.44,12,1461,16.44_16.45_16.46_16.47_16.48_,32_122_17_106_71_,16.43_16.42_16.41_16.40_16.39_,30_68_113_230_70_
09:28:46,16.44,12,1461,16.44_16.45_16.46_16.47_16.48_,32_122_57_106_31_,16.43_16.42_16.41_16.40_16.39_,30_68_113_190_110_
09:28:51,16.44,12,1461,16.44_16.45_16.46_16.47_16.48_,32_121_67_106_71_,16.43_16.42_16.41_16.40_16.39_,30_68_113_230_70_
09:29:32,16.44,1,1462,16.44_16.45_16.46_16.47_16.48_,39_121_57_106_31_,16.43_16.42_16.41_16.40_16.39_,30_69_113_190_110_
09:29:37,16.44,5,1467,16.44_16.45_16.46_16.47_16.48_,34_121_67_106_71_,16.43_16.42_16.41_16.40_16.39_,30_69_113_230_70_
09:29:42,16.44,5,1467,16.44_16.45_16.46_16.47_16.48_,34_121_17_106_71_,16.43_16.42_16.41_16.40_16.39_,30_69_113_230_70_
09:29:48,16.44,3,1470,16.44_16.45_16.46_16.47_16.48_,31_121_17_106_71_,16.43_16.42_16.41_16.40_16.39_,30_69_113_230_70_
09:30:34,16.44,10,1491,16.44_16.45_16.46_16.47_16.48_,12_121_107_106_31_,16.43_16.42_16.41_16.40_16.39_,30_49_113_190_110_
09:31:04,16.44,2,1503,16.44_16.45_16.46_16.47_16.48_,1_161_57_154_119_,16.43_16.42_16.41_16.40_16.39_,30_49_48_191_70_
09:31:09,16.44,1,1504,16.45_16.46_16.47_16.48_16.49_,156_107_154_119_24_,16.44_16.43_16.42_16.41_16.40_,14_30_49_48_191_
09:31:20,16.44,14,1518,16.44_16.45_16.46_16.47_16.48_,41_156_17_154_119_,16.43_16.42_16.41_16.40_16.39_,30_49_48_191_70_
09:34:19,16.42,1,1668,16.42_16.43_16.44_16.45_16.46_,1_5_64_147_68_,16.41_16.40_16.39_16.38_16.37_,49_192_70_88_6_
09:34:24,16.42,6,1674,16.43_16.44_16.45_16.46_16.47_,5_114_147_18_16_,16.42_16.41_16.40_16.39_16.38_,34_49_132_10_88_
09:34:39,16.42,3,1719,16.43_16.44_16.45_16.46_16.47_,5_114_147_18_16_,16.42_16.41_16.40_16.39_16.38_,37_49_132_10_88_
09:34:44,16.42,3,1719,16.43_16.44_16.45_16.46_16.47_,5_65_147_68_16_,16.42_16.41_16.40_16.39_16.38_,40_49_192_70_88_
09:35:30,16.44,34,1799,16.45_16.46_16.47_16.48_16.49_,97_18_16_83_46_,16.44_16.43_16.42_16.41_16.40_,56_70_10_89_192_
09:35:41,16.45,5,1804,16.45_16.46_16.47_16.48_16.49_,93_18_16_83_46_,16.44_16.43_16.42_16.41_16.40_,16_30_10_89_192_
09:35:46,16.45,47,1851,16.45_16.46_16.47_16.48_16.49_,46_18_16_83_46_,16.44_16.43_16.42_16.41_16.40_,56_30_10_89_192_
09:35:51,16.45,47,1851,16.45_16.46_16.47_16.48_16.49_,46_18_16_83_46_,16.44_16.43_16.42_16.41_16.40_,56_70_10_89_192_
09:35:56,16.47,81,1932,16.48_16.49_16.50_16.51_16.52_,83_46_93_61_62_,16.47_16.45_16.44_16.43_16.42_,19_70_56_30_11_
09:36:32,16.49,3,2121,16.49_16.50_16.51_16.52_16.53_,8_34_21_63_108_,16.46_16.45_16.44_16.43_16.42_,40_160_76_90_11_
09:37:33,16.51,50,2272,16.51_16.52_16.53_16.54_16.55_,51_120_58_42_125_,16.48_16.46_16.45_16.42_16.41_,11_40_51_70_81_
09:38:09,16.50,2,2278,16.50_16.51_16.52_16.53_16.54_,22_23_121_108_42_,16.49_16.48_16.46_16.45_16.44_,18_12_60_111_60_
09:38:50,16.46,16,2314,16.49_16.50_16.51_16.52_16.53_,83_39_106_121_18_,16.46_16.45_16.44_16.43_16.42_,16_51_40_61_70_
09:38:55,16.46,16,2314,16.48_16.49_16.50_16.51_16.52_,2_83_39_66_121_,16.46_16.45_16.43_16.42_16.41_,58_51_61_70_21_
09:40:48,16.44,100,2438,16.48_16.49_16.50_16.51_16.52_,24_83_145_107_34_,16.44_16.43_16.42_16.41_16.40_,89_101_11_22_135_
09:40:53,16.48,1,2439,16.48_16.49_16.50_16.51_16.52_,23_83_145_107_34_,16.44_16.43_16.42_16.41_16.40_,40_41_11_82_195_
09:40:58,16.48,1,2439,16.48_16.49_16.50_16.51_16.52_,23_83_105_67_74_,16.46_16.45_16.43_16.42_16.41_,40_40_1_11_82_
09:41:03,16.48,1,2439,16.48_16.49_16.50_16.51_16.52_,23_83_105_107_74_,16.45_16.44_16.43_16.42_16.41_,40_41_1_71_82_
09:42:05,16.48,2,2445,16.48_16.49_16.50_16.51_16.52_,46_83_144_106_36_,16.46_16.44_16.43_16.42_16.41_,4_41_50_72_82_
09:43:52,16.46,3,2462,16.47_16.48_16.49_16.50_16.51_,11_34_3_146_56_,16.46_16.44_16.43_16.42_16.41_,9_51_50_73_81_
09:43:57,16.46,3,2462,16.47_16.48_16.49_16.50_16.51_,11_34_3_146_56_,16.46_16.44_16.43_16.42_16.41_,12_51_50_73_81_
09:44:02,16.47,2,2464,16.47_16.48_16.49_16.50_16.51_,12_34_3_155_56_,16.46_16.44_16.43_16.42_16.41_,12_51_50_73_81_
09:45:19,16.45,2,2491,16.45_16.46_16.47_16.48_16.49_,39_5_12_84_3_,16.44_16.43_16.42_16.41_16.40_,54_50_73_81_200_
09:47:12,16.44,1,2529,16.45_16.46_16.47_16.48_16.49_,74_5_12_78_43_,16.44_16.43_16.42_16.41_16.40_,17_50_52_81_200_
09:47:17,16.45,2,2531,16.45_16.46_16.47_16.48_16.49_,72_5_12_118_43_,16.44_16.43_16.42_16.41_16.40_,19_10_112_121_200_
09:48:24,16.44,5,2562,16.45_16.46_16.47_16.48_16.49_,58_5_62_118_43_,16.44_16.43_16.42_16.41_16.40_,4_11_52_121_199_
09:49:00,16.44,2,2566,16.45_16.46_16.47_16.48_16.49_,56_5_12_118_43_,16.44_16.43_16.42_16.41_16.40_,3_10_112_121_199_
09:49:05,16.44,2,2566,16.45_16.46_16.47_16.48_16.49_,56_5_12_118_43_,16.44_16.43_16.42_16.41_16.40_,3_10_113_121_199_
09:49:15,16.45,3,2569,16.45_16.46_16.47_16.48_16.49_,53_5_12_78_3_,16.44_16.43_16.42_16.41_16.40_,3_10_73_81_199_
09:49:20,16.44,1,2570,16.45_16.46_16.47_16.48_16.49_,53_5_12_118_43_,16.44_16.43_16.42_16.41_16.40_,2_10_53_121_199_
09:49:25,16.44,1,2570,16.45_16.46_16.47_16.48_16.49_,53_5_12_118_43_,16.44_16.43_16.42_16.41_16.40_,2_10_113_121_199_
09:50:47,16.43,12,2588,16.43_16.44_16.45_16.46_16.47_,8_8_101_75_10_,16.42_16.41_16.40_16.39_16.38_,63_61_202_70_88_
09:51:03,16.44,1,2630,16.45_16.46_16.47_16.48_16.49_,51_65_50_78_3_,16.44_16.43_16.42_16.41_16.40_,8_3_23_81_242_
09:51:08,16.45,2,2632,16.45_16.46_16.47_16.48_16.49_,49_65_50_78_3_,16.44_16.43_16.42_16.41_16.40_,8_3_23_81_242_
