09:16:43,40.50,1,1,40.51_40.53_40.54_,30_28_53_,40.40_40.39_40.01_40.00_39.75_,20_51_70_1_2_
09:17:39,40.50,1,1,40.52_40.53_,28_83_,40.38_40.37_40.01_40.00_39.75_,20_51_70_1_2_
09:19:27,40.50,1,1,40.51_40.52_,28_53_,40.37_40.36_40.00_39.75_39.50_,20_121_1_2_3_
09:20:13,40.49,1,2,40.48_40.49_40.52_,28_53_30_,40.35_40.34_40.01_40.00_39.75_,20_51_70_1_2_
09:20:34,40.49,1,2,40.52_40.53_,58_53_,40.38_40.37_40.36_40.00_39.75_,20_51_70_1_2_
09:21:09,40.49,1,2,40.49_40.50_40.52_,28_53_30_,40.36_40.35_40.00_39.75_39.50_,90_51_1_2_3_
09:23:59,40.49,1,2,40.56_40.57_,28_83_,40.42_40.41_39.75_39.50_39.33_,20_121_2_3_3_
09:24:09,40.49,1,2,40.57_40.58_,28_53_,40.43_40.42_40.41_39.75_39.50_,20_51_70_2_3_
09:24:14,40.49,1,2,40.56_40.57_,28_83_,40.42_40.41_39.75_39.50_39.33_,90_51_2_3_3_
09:24:19,40.49,1,2,40.57_40.58_,58_53_,40.43_40.42_40.41_39.75_39.50_,20_51_70_2_3_
09:25:05,40.49,1,2,40.57_40.58_40.59_,30_28_53_,40.45_40.44_40.43_39.75_39.50_,20_51_70_2_3_
09:26:37,40.49,1,2,40.59_40.60_40.62_,28_53_30_,40.46_40.45_39.75_39.50_39.33_,90_51_2_3_3_
09:26:48,40.49,1,2,40.58_40.59_40.62_,28_53_30_,40.45_40.44_39.76_39.75_39.50_,20_51_70_2_3_
09:27:44,40.49,1,2,40.56_40.57_40.62_,28_53_30_,40.42_40.41_39.76_39.75_39.50_,20_51_70_2_3_
09:30:02,40.49,1,2,40.57_40.58_40.62_,28_53_30_,40.43_40.42_39.76_39.75_39.50_,20_51_70_2_3_
09:31:03,40.49,1,2,40.58_40.59_,28_83_,40.45_40.44_39.76_39.75_39.50_,20_51_70_2_3_
09:31:09,40.49,1,2,40.58_40.59_,28_83_,40.45_40.44_39.75_39.50_39.33_,20_121_2_3_3_
09:31:19,40.49,1,2,40.57_40.58_40.59_,28_53_30_,40.44_40.43_40.42_39.75_39.50_,70_20_51_2_3_
09:31:50,40.49,1,2,40.56_40.57_40.59_,28_53_30_,40.42_40.41_39.76_39.75_39.50_,20_51_70_2_3_
09:32:31,40.49,1,2,40.57_40.58_,58_53_,40.43_40.42_39.75_39.50_39.33_,20_121_2_3_3_
09:34:39,40.49,1,2,40.54_40.55_40.58_,28_53_30_,40.41_40.40_39.76_39.75_39.50_,20_51_70_2_3_
09:35:35,40.49,1,2,40.53_40.54_40.58_,28_53_30_,40.40_40.39_39.76_39.75_39.50_,20_51_70_2_3_
09:35:41,40.49,1,2,40.54_40.55_40.58_,28_53_30_,40.41_40.40_39.76_39.75_39.50_,20_51_70_2_3_
09:37:18,40.49,1,2,40.67_40.68_40.69_,30_28_53_,40.54_40.51_39.75_39.50_39.33_,51_70_2_3_3_
09:38:09,40.49,1,2,40.68_40.69_,58_53_,40.55_40.54_40.52_39.75_39.50_,20_51_70_2_3_
09:38:14,40.49,1,2,40.67_40.68_,28_83_,40.53_40.52_39.75_39.50_39.33_,20_121_2_3_3_
09:38:19,40.49,1,2,40.68_40.69_,58_53_,40.55_40.54_40.52_39.75_39.50_,20_51_70_2_3_
09:40:22,40.49,1,2,40.71_40.72_40.73_,28_53_30_,40.57_40.56_39.75_39.50_39.33_,20_51_2_3_3_
09:41:03,40.49,1,2,40.71_40.72_40.73_,28_53_30_,40.57_40.56_39.76_39.75_39.50_,20_51_70_2_3_
09:41:18,40.49,1,2,40.72_40.73_,28_83_,40.58_40.57_39.76_39.75_39.50_,20_51_70_2_3_
09:41:23,40.49,1,2,40.73_40.74_,58_53_,40.60_40.59_39.76_39.75_39.50_,20_51_70_2_3_
09:41:59,40.49,1,2,40.72_40.73_,28_83_,40.58_40.57_39.75_39.50_39.33_,20_121_2_3_3_
09:42:56,40.49,1,2,40.75_40.77_40.78_,30_28_53_,40.63_40.62_39.76_39.75_39.50_,20_51_70_2_3_
09:43:11,40.49,1,2,40.75_40.76_40.77_,30_28_53_,40.62_40.61_39.75_39.50_39.33_,20_121_2_3_3_
09:43:37,40.49,1,2,40.73_40.74_40.75_,30_28_53_,40.61_40.60_40.59_39.75_39.50_,20_51_70_2_3_
09:44:08,40.49,1,2,40.76_40.77_40.78_,30_28_53_,40.63_40.62_40.59_39.75_39.50_,20_51_70_2_3_
09:44:38,40.49,1,2,40.76_40.77_,58_53_,40.62_40.61_40.59_39.75_39.50_,20_51_70_2_3_
09:44:44,40.49,1,2,40.75_40.77_40.78_,30_28_53_,40.63_40.62_40.61_39.75_39.50_,20_51_70_2_3_
09:45:14,40.49,1,2,40.77_40.78_,58_53_,40.63_40.62_40.61_39.75_39.50_,20_51_70_2_3_
09:47:53,40.49,1,2,40.78_40.79_,28_83_,40.65_40.64_39.76_39.75_39.50_,20_51_70_2_3_
09:48:03,40.49,1,2,40.79_40.80_,58_53_,40.66_40.65_40.64_39.75_39.50_,20_51_70_2_3_
09:48:08,40.49,1,2,40.78_40.79_40.80_,30_28_53_,40.66_40.65_39.75_39.50_39.33_,20_121_2_3_3_
09:49:36,40.49,1,2,40.82_40.84_40.85_,30_28_53_,40.71_40.70_40.69_39.75_39.50_,20_51_70_2_3_
09:51:03,40.49,1,2,40.81_40.82_,58_53_,40.67_40.66_39.75_39.50_39.33_,20_121_2_3_3_
09:51:28,40.49,1,2,40.82_40.83_40.84_,30_28_53_,40.70_40.69_40.66_39.75_39.50_,20_51_70_2_3_
09:51:44,40.49,1,2,40.82_40.83_,58_53_,40.68_40.67_39.75_39.50_39.33_,20_121_2_3_3_
09:51:49,40.49,1,2,40.82_40.84_40.85_,30_28_53_,40.71_40.70_40.67_39.75_39.50_,20_51_70_2_3_
09:53:21,40.49,1,2,40.81_40.82_40.83_,30_28_53_,40.68_40.67_39.76_39.75_39.50_,20_51_70_2_3_
09:53:26,40.49,1,2,40.82_40.83_,58_53_,40.68_40.67_39.76_39.75_39.50_,20_51_70_2_3_
09:53:42,40.49,1,2,40.81_40.82_,58_53_,40.67_40.66_39.76_39.75_39.50_,20_51_70_2_3_
09:54:17,40.49,1,2,40.80_40.81_40.82_,30_28_53_,40.67_40.66_39.75_39.50_39.33_,20_121_2_3_3_
09:54:23,40.49,1,2,40.81_40.82_40.83_,30_28_53_,40.68_40.67_39.76_39.75_39.50_,20_51_70_2_3_
09:57:01,40.49,1,2,40.82_40.84_40.85_,30_28_53_,40.70_40.69_39.75_39.50_39.33_,20_121_2_3_3_
09:57:11,40.49,1,2,40.82_40.83_40.84_,30_28_53_,40.70_40.69_39.76_39.75_39.50_,20_51_70_2_3_
09:57:52,40.49,1,2,40.83_40.84_40.85_,30_28_53_,40.71_40.70_39.76_39.75_39.50_,20_51_70_2_3_
09:58:13,40.49,1,2,40.83_40.86_40.87_,30_28_53_,40.72_40.71_39.76_39.75_39.50_,20_51_70_2_3_
09:58:33,40.49,1,2,40.85_40.86_40.87_,30_28_53_,40.72_40.71_39.76_39.75_39.50_,20_51_70_2_3_
10:01:17,40.49,1,2,40.91_40.92_,58_53_,40.77_40.76_40.75_39.75_39.50_,20_51_70_2_3_
10:02:34,40.49,1,2,40.84_40.85_,28_53_,40.71_40.70_39.75_39.50_39.33_,90_51_2_3_3_
10:03:46,40.49,1,2,40.86_40.87_,58_53_,40.71_40.70_39.75_39.50_39.33_,20_121_2_3_3_
10:08:43,40.49,1,2,40.86_40.87_40.88_,28_53_30_,40.72_40.71_39.75_39.50_39.33_,90_51_2_3_3_
10:08:48,40.49,1,2,40.85_40.86_40.87_,30_28_53_,40.72_40.71_39.76_39.75_39.50_,20_51_70_2_3_
10:09:03,40.49,1,2,40.87_40.88_,58_53_,40.73_40.72_39.76_39.75_39.50_,20_51_70_2_3_
10:09:13,40.49,1,2,40.86_40.87_40.88_,30_28_53_,40.73_40.72_39.75_39.50_39.33_,20_121_2_3_3_
10:09:18,40.49,1,2,40.86_40.87_40.88_,30_28_53_,40.73_40.72_39.76_39.75_39.50_,20_51_70_2_3_
10:10:10,40.49,1,2,40.88_40.89_,58_53_,40.75_40.74_39.76_39.75_39.50_,20_51_70_2_3_
10:12:54,40.49,1,2,40.86_40.87_,58_53_,40.72_40.71_39.75_39.50_39.33_,90_51_2_3_3_
10:13:50,40.49,1,2,40.84_40.85_,28_83_,40.71_40.70_39.76_39.75_39.50_,20_51_70_2_3_
10:14:36,40.49,1,2,40.85_40.86_40.87_,30_28_53_,40.72_40.71_39.76_39.75_39.50_,20_51_70_2_3_
10:14:52,40.49,1,2,40.86_40.87_,58_53_,40.72_40.71_39.76_39.75_39.50_,20_51_70_2_3_
10:15:02,40.49,1,2,40.85_40.86_40.87_,30_28_53_,40.72_40.71_39.75_39.50_39.33_,20_121_2_3_3_
10:15:12,40.49,1,2,40.87_40.88_,28_83_,40.73_40.72_39.75_39.50_39.33_,20_121_2_3_3_
10:17:10,40.49,1,2,40.86_40.87_,58_53_,40.72_40.71_39.75_39.50_39.33_,20_121_2_3_3_
10:17:41,40.49,1,2,40.86_40.87_40.88_,30_28_53_,40.73_40.72_40.71_39.75_39.50_,20_51_70_2_3_
10:21:11,40.49,1,2,40.83_40.84_40.85_,30_28_53_,40.71_40.70_39.75_39.50_39.33_,20_121_2_3_3_
