09:00:42,17.55,1,421,17.55_17.90_17.95_18.00_18.10_,13354_2_1_3_1_,-,-
09:00:47,17.55,1,421,17.55_17.90_17.95_18.00_18.10_,13356_2_1_3_1_,-,-
09:02:19,17.55,1,442,17.55_17.90_17.95_18.00_18.15_,13505_2_1_3_2_,-,-
09:02:34,17.55,1,444,17.55_17.80_17.90_17.95_18.00_,13533_1_2_1_3_,-,-
09:04:43,17.55,1,478,17.55_17.70_17.75_17.80_17.90_,13604_17_1_2_2_,-,-
09:05:08,17.55,1,480,17.55_17.70_17.75_17.80_17.90_,13622_18_1_3_2_,-,-
09:05:13,17.55,1,480,17.55_17.70_17.75_17.80_17.90_,13624_18_1_3_2_,-,-
09:05:19,17.55,1,480,17.55_17.70_17.75_17.80_17.90_,13624_1_18_3_2_,-,-
09:05:24,17.55,1,481,17.55_17.70_17.75_17.80_17.90_,13639_1_18_3_2_,-,-
09:05:34,17.55,1,482,17.55_17.70_17.75_17.80_17.90_,13644_1_18_3_2_,-,-
09:05:49,17.55,13,501,17.55_17.70_17.75_17.80_17.90_,13650_1_18_3_2_,-,-
09:05:54,17.55,13,501,17.55_17.70_17.75_17.80_17.90_,13651_1_18_3_2_,-,-
09:05:59,17.55,1,502,17.55_17.70_17.75_17.80_17.90_,13650_1_18_3_2_,-,-
09:06:15,17.55,1,502,17.55_17.70_17.75_17.80_17.90_,13660_1_18_4_2_,-,-
09:07:47,17.55,1,525,17.55_17.70_17.75_17.80_17.90_,13825_1_18_4_2_,-,-
09:08:08,17.55,7,532,17.55_17.70_17.75_17.80_17.90_,13834_1_18_4_2_,-,-
09:08:13,17.55,1,533,17.55_17.70_17.75_17.80_17.90_,13835_1_18_4_2_,-,-
09:08:18,17.55,1,533,17.55_17.70_17.75_17.80_17.90_,13837_1_18_4_2_,-,-
09:08:28,17.55,7,540,17.55_17.70_17.75_17.80_17.90_,13830_1_18_4_2_,-,-
09:08:33,17.55,1,541,17.55_17.70_17.75_17.80_17.90_,13684_1_18_4_2_,-,-
09:09:35,17.55,2,613,17.55_17.70_17.75_17.80_17.90_,13678_1_18_4_2_,-,-
09:11:27,17.55,1,626,17.55_17.70_17.75_17.80_17.90_,13728_1_18_4_12_,-,-
09:11:33,17.55,1,627,17.55_17.70_17.75_17.80_17.90_,13734_1_18_4_12_,-,-
