10:36:40,28.40,2,2,28.36_28.42_,80_2_,28.14_28.07_,1_20_
10:36:55,28.40,2,2,28.36_28.41_,80_2_,28.14_28.07_,1_20_
10:37:00,28.40,2,2,28.36_28.42_,80_1_,28.14_28.06_,1_20_
10:37:06,28.40,2,2,28.36_28.42_,80_1_,28.15_28.06_,1_20_
10:37:11,28.40,2,2,28.36_28.42_,80_1_,28.15_28.07_,1_20_
10:37:21,28.40,2,2,28.35_28.43_,80_2_,28.15_28.06_,1_20_
10:38:23,28.40,2,2,28.37_28.40_,80_1_,28.13_28.08_,1_20_
10:38:28,28.40,2,2,28.35_28.40_,80_1_,28.13_28.05_,1_20_
10:38:33,28.40,2,2,28.34_28.40_,80_1_,28.05_,20_
10:38:38,28.40,2,2,28.34_28.39_,80_1_,28.12_28.04_,1_20_
10:38:43,28.40,2,2,28.33_28.39_,80_1_,28.12_28.04_,1_20_
10:41:02,28.40,2,2,28.33_28.37_,80_2_,28.10_28.03_,1_20_
10:41:12,28.40,2,2,28.33_28.39_,80_2_,28.12_28.04_,1_20_
10:42:24,28.40,2,2,28.35_28.39_,80_1_,28.12_28.05_,1_20_
10:42:49,28.40,2,2,28.32_28.39_,80_2_,28.12_28.03_,1_20_
10:43:00,28.40,2,2,28.35_28.42_,80_1_,28.14_28.05_,1_20_
10:43:05,28.40,2,2,28.36_28.42_,80_1_,28.14_28.07_,1_20_
10:43:10,28.40,2,2,28.36_28.41_,80_1_,28.14_28.07_,1_20_
10:43:35,28.40,2,2,28.35_,80_,28.13_28.05_,1_20_
10:50:00,28.40,2,2,28.39_28.43_,80_1_,28.15_28.09_,1_20_
10:50:20,28.40,2,2,28.37_28.43_,80_1_,28.15_28.08_,1_20_
10:51:06,28.40,2,2,28.39_28.44_,80_2_,28.17_28.09_,1_20_
10:54:01,28.40,2,2,28.39_28.45_,80_1_,28.18_28.10_,1_20_
10:56:50,28.40,2,2,28.41_28.47_,80_1_,28.20_28.12_,1_20_
10:57:31,28.40,2,2,28.40_28.46_,80_1_,28.18_28.11_,1_20_
10:57:46,28.40,2,2,28.41_28.46_,80_1_,28.19_28.12_,1_20_
10:59:49,28.40,2,2,28.39_28.45_,80_2_,28.18_28.10_,1_20_
11:02:18,28.40,2,2,28.37_28.44_,80_1_,28.08_,20_
11:05:27,28.40,2,2,28.39_28.45_,80_2_,28.10_,20_
11:05:32,28.40,2,2,28.39_28.46_,80_1_,28.18_28.10_,1_20_
11:06:54,28.40,2,2,28.40_28.46_,80_2_,28.18_28.11_,1_20_
11:07:04,28.40,2,2,28.39_28.45_,80_2_,28.17_28.09_,1_20_
11:07:25,28.40,2,2,28.39_28.45_,80_2_,28.17_28.10_,1_20_
11:07:30,28.40,2,2,28.40_28.46_,80_2_,28.19_28.10_,1_20_
11:07:35,28.40,2,2,28.39_28.45_,80_1_,28.17_28.09_,1_20_
11:08:42,28.40,2,2,28.38_,80_,28.16_28.08_,1_20_
11:09:07,28.40,2,2,28.39_28.44_,80_1_,28.17_28.09_,1_20_
11:09:53,28.40,2,2,28.38_28.43_,80_1_,28.15_28.08_,1_20_
11:12:43,28.40,2,2,28.40_28.46_,80_1_,28.18_28.11_,1_20_
11:12:48,28.40,2,2,28.41_28.47_,80_1_,28.19_28.12_,1_20_
11:12:53,28.40,2,2,28.40_28.46_,80_2_,28.19_28.11_,1_20_
11:13:03,28.40,2,2,28.40_,80_,28.18_28.11_,1_20_
11:13:08,28.40,2,2,28.39_28.45_,80_2_,28.18_28.10_,1_20_
11:15:37,28.40,2,2,28.39_28.45_,80_1_,28.18_28.10_,1_20_
11:16:23,28.40,2,2,28.37_28.43_,80_2_,28.15_28.08_,1_20_
11:16:33,28.40,2,2,28.38_28.45_,80_2_,28.18_28.09_,1_20_
11:17:55,28.40,2,2,28.39_28.44_,80_2_,28.17_28.09_,1_20_
11:19:22,28.40,2,2,28.39_28.44_,80_1_,28.17_28.10_,1_20_
11:19:28,28.40,2,2,28.39_28.45_,80_1_,28.10_,20_
11:19:33,28.40,2,2,28.40_28.44_,80_2_,28.17_28.10_,1_20_
11:19:38,28.40,2,2,28.39_28.44_,80_2_,28.17_28.09_,1_20_
11:19:43,28.40,2,2,28.40_28.46_,80_2_,28.18_28.10_,1_20_
11:19:48,28.40,2,2,28.40_28.46_,80_2_,28.18_28.11_,1_20_
11:19:58,28.40,2,2,28.41_28.47_,80_2_,28.20_28.11_,1_20_
11:20:03,28.40,2,2,28.39_28.46_,80_2_,28.18_28.10_,1_20_
11:20:09,28.40,2,2,28.40_28.45_,80_2_,28.17_28.11_,1_20_
11:20:19,28.40,2,2,28.39_28.45_,80_2_,28.18_28.10_,1_20_
11:20:29,28.40,2,2,28.39_28.46_,80_1_,28.18_28.10_,1_20_
11:20:34,28.40,2,2,28.40_28.46_,80_2_,28.18_28.11_,1_20_
11:24:14,28.40,2,2,28.41_28.46_,80_2_,28.19_28.12_,1_20_
