09:00:17,88.80,4,89,88.90_89.00_89.10_89.20_89.30_,6_17_12_3_8_,88.80_88.70_88.60_88.50_88.40_,4_10_4_4_1_
09:01:03,89.40,7,150,89.40_89.50_89.60_89.70_89.80_,1_24_3_3_10_,89.30_89.20_89.10_89.00_88.70_,12_3_11_23_4_
09:01:08,89.40,2,152,89.40_89.50_89.60_89.70_89.80_,1_24_3_3_25_,89.30_89.20_89.10_89.00_88.70_,19_2_12_23_8_
09:01:13,89.40,4,156,89.50_89.60_89.70_89.80_89.90_,25_3_4_25_15_,89.30_89.20_89.10_89.00_88.70_,20_2_12_23_8_
09:01:33,89.30,7,180,89.40_89.50_89.60_89.70_89.80_,12_25_3_4_24_,89.30_89.20_89.10_89.00_88.90_,9_1_11_26_15_
09:01:39,89.30,9,189,89.40_89.50_89.60_89.70_89.80_,12_25_3_4_24_,89.30_89.20_89.10_89.00_88.90_,3_1_10_26_15_
09:01:44,89.30,3,192,89.40_89.50_89.60_89.70_89.80_,12_25_3_4_24_,89.10_89.00_88.90_88.70_88.60_,12_27_16_4_2_
09:04:17,88.50,7,288,88.70_88.80_89.00_89.10_89.20_,2_2_1_3_24_,88.60_88.50_88.40_88.30_88.20_,2_11_8_8_50_
09:04:28,88.40,11,302,88.50_88.70_88.80_89.00_89.10_,4_2_2_1_3_,88.40_88.30_88.20_88.10_88.00_,3_12_48_14_11_
09:04:33,88.20,18,320,88.40_88.50_88.70_88.80_89.00_,2_9_1_1_1_,88.20_88.10_88.00_87.90_87.80_,33_24_19_4_4_
09:04:38,88.20,2,322,88.30_88.40_88.50_88.60_88.70_,1_6_7_1_1_,88.20_88.10_88.00_87.90_87.80_,28_14_35_10_11_
09:05:19,88.20,3,350,88.20_88.30_88.50_88.80_89.00_,7_6_3_1_11_,88.10_88.00_87.90_87.80_87.70_,12_30_36_17_4_
09:05:24,88.20,1,351,88.20_88.30_88.50_88.70_88.80_,15_1_2_11_2_,88.10_88.00_87.90_87.80_87.70_,12_25_26_27_10_
