09:00:52,27.10,15,198,27.15_27.20_27.25_27.30_27.40_,8_15_27_6_15_,27.10_27.05_27.00_26.95_26.90_,5_28_49_23_15_
09:01:08,27.05,1,206,27.10_27.15_27.20_27.25_27.30_,4_3_139_43_6_,27.05_27.00_26.95_26.90_26.85_,25_49_22_13_228_
09:03:41,26.95,11,339,26.95_27.00_27.05_27.10_27.15_,3_34_7_113_40_,26.90_26.85_26.80_26.75_26.70_,18_23_13_238_35_
09:03:46,26.90,10,349,26.95_27.00_27.05_27.10_27.15_,26_34_136_48_12_,26.90_26.85_26.80_26.75_26.70_,8_23_7_6_265_
09:03:51,26.90,7,356,26.90_26.95_27.00_27.05_27.10_,18_27_41_56_135_,26.85_26.80_26.75_26.70_26.65_,24_7_6_265_9_
09:03:57,26.85,7,363,26.90_26.95_27.00_27.05_27.10_,7_28_83_117_21_,26.85_26.80_26.70_26.65_26.60_,16_8_36_239_19_
09:04:02,26.85,8,371,26.90_26.95_27.00_27.05_27.10_,9_29_82_122_18_,26.85_26.80_26.70_26.65_26.60_,9_7_36_101_159_
09:04:07,26.85,8,379,26.85_26.90_26.95_27.00_27.05_,14_8_30_84_123_,26.80_26.70_26.65_26.60_26.55_,8_36_101_159_4_
09:05:39,26.75,2,506,26.75_26.80_26.85_26.90_26.95_,17_8_70_118_23_,26.70_26.65_26.60_26.55_26.50_,8_25_19_11_265_
09:05:49,26.75,5,511,26.75_26.80_26.85_26.90_26.95_,12_8_70_118_23_,26.70_26.65_26.60_26.55_26.50_,9_26_19_33_265_
09:05:54,26.75,5,511,26.75_26.80_26.85_26.90_26.95_,12_8_70_118_23_,26.70_26.65_26.60_26.55_26.50_,27_25_19_33_265_
09:07:32,26.80,1,554,26.85_26.90_26.95_27.00_27.10_,34_8_110_33_21_,26.80_26.75_26.70_26.65_26.60_,1_10_37_37_265_
09:07:42,26.85,2,561,26.85_26.90_26.95_27.00_27.10_,30_8_110_33_21_,26.80_26.75_26.70_26.65_26.60_,3_10_37_37_265_
09:07:47,26.85,20,581,26.85_26.90_26.95_27.00_27.10_,11_8_110_33_21_,26.80_26.75_26.70_26.65_26.60_,1_10_38_37_265_
09:07:57,26.85,20,581,26.85_26.90_26.95_27.00_27.10_,17_8_110_33_21_,26.80_26.75_26.70_26.65_26.60_,37_9_26_38_265_
09:08:02,26.85,20,581,26.85_26.90_26.95_27.00_27.10_,16_8_110_34_21_,26.80_26.75_26.70_26.65_26.60_,35_9_26_38_265_
09:09:40,26.80,1,609,26.90_26.95_27.00_27.05_27.10_,10_66_103_28_12_,26.80_26.75_26.70_26.65_26.60_,38_9_34_41_271_
09:09:45,26.80,1,609,26.90_26.95_27.00_27.05_27.10_,13_63_103_28_12_,26.80_26.75_26.70_26.65_26.60_,39_59_34_41_271_
09:09:50,26.90,3,612,26.90_26.95_27.00_27.05_27.10_,10_63_103_28_12_,26.80_26.75_26.70_26.65_26.60_,39_59_34_41_271_
09:09:55,26.90,3,612,26.90_26.95_27.00_27.05_27.10_,10_63_103_28_12_,26.80_26.75_26.70_26.65_26.60_,34_59_34_41_271_
09:10:00,26.80,1,613,26.90_26.95_27.00_27.05_27.10_,10_63_103_28_12_,26.80_26.75_26.70_26.65_26.60_,33_59_34_41_271_
09:10:06,26.90,1,614,26.90_26.95_27.00_27.05_27.10_,9_63_103_28_12_,26.80_26.75_26.70_26.65_26.60_,33_59_34_41_271_
09:11:38,26.80,1,624,26.85_26.90_26.95_27.00_27.05_,4_9_146_33_6_,26.80_26.75_26.70_26.65_26.60_,29_61_41_42_270_
09:14:22,26.75,1,711,26.80_26.85_26.90_26.95_27.00_,6_3_128_51_13_,26.75_26.70_26.65_26.60_26.55_,151_36_46_34_274_
09:15:13,26.80,1,732,26.85_26.90_26.95_27.00_27.05_,3_10_113_32_6_,26.80_26.75_26.70_26.65_26.60_,7_157_51_46_275_
09:16:19,26.85,3,751,26.90_26.95_27.00_27.05_27.10_,12_34_128_27_13_,26.85_26.80_26.75_26.70_26.65_,20_13_156_52_289_
09:16:35,26.85,1,752,26.90_26.95_27.00_27.05_27.10_,12_34_128_27_12_,26.85_26.80_26.75_26.70_26.65_,19_15_156_52_289_
09:16:50,26.90,4,756,26.90_26.95_27.00_27.05_27.10_,12_31_128_27_12_,26.85_26.80_26.75_26.70_26.65_,19_15_158_51_289_
09:17:10,26.90,2,760,26.90_26.95_27.00_27.05_27.10_,11_30_133_26_12_,26.85_26.80_26.75_26.70_26.65_,37_71_158_51_289_
09:17:21,26.90,1,761,26.90_26.95_27.00_27.05_27.10_,10_30_133_26_12_,26.85_26.80_26.75_26.70_26.65_,37_71_159_51_289_
09:20:15,26.90,2,910,26.90_26.95_27.00_27.05_27.10_,6_32_108_22_11_,26.85_26.80_26.75_26.70_26.65_,25_65_158_73_293_
09:20:41,26.85,9,945,26.95_27.00_27.05_27.10_27.15_,41_130_29_13_9_,26.80_26.75_26.70_26.65_26.60_,65_158_73_136_210_
09:21:01,26.80,1,946,26.95_27.00_27.05_27.10_27.15_,41_130_28_15_9_,26.80_26.75_26.70_26.65_26.60_,66_158_73_136_210_
09:22:23,26.85,2,983,26.85_26.90_26.95_27.00_27.10_,10_12_142_40_11_,26.80_26.75_26.70_26.65_26.60_,63_158_67_49_299_
09:22:54,26.80,22,1006,26.85_26.90_26.95_27.00_27.10_,14_9_142_40_11_,26.80_26.75_26.70_26.65_26.60_,41_158_67_99_299_
09:22:59,26.80,11,1017,26.85_26.90_26.95_27.00_27.10_,14_9_142_40_11_,26.80_26.75_26.70_26.65_26.60_,31_158_73_99_299_
09:23:04,26.85,5,1022,26.85_26.90_26.95_27.00_27.10_,15_9_143_39_11_,26.80_26.75_26.70_26.65_26.60_,32_158_73_99_299_
09:23:09,26.85,5,1022,26.85_26.90_26.95_27.00_27.10_,15_9_143_39_11_,26.80_26.75_26.70_26.65_26.60_,32_158_123_99_299_
09:24:31,26.80,1,1032,26.85_26.90_26.95_27.00_27.10_,14_10_143_40_11_,26.80_26.75_26.70_26.65_26.60_,36_159_125_99_299_
09:24:42,26.80,1,1032,26.85_26.90_26.95_27.00_27.10_,14_10_143_40_11_,26.80_26.75_26.70_26.65_26.60_,36_159_125_100_299_
09:24:47,26.80,1,1032,26.85_26.90_26.95_27.00_27.10_,14_10_143_40_11_,26.80_26.75_26.70_26.65_26.60_,37_159_126_100_299_
09:24:52,26.80,1,1033,26.85_26.90_26.95_27.00_27.10_,14_10_143_40_11_,26.80_26.75_26.70_26.65_26.60_,36_160_127_100_299_
09:26:34,26.85,1,1069,26.90_26.95_27.00_27.05_27.10_,4_32_137_26_11_,26.85_26.80_26.75_26.70_26.65_,13_32_164_128_344_
